Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,Single.cells,Viable.cells,CD11b.,Eosinophils,Eosinophils...of.viable.,Granulocytes,Granulocytes....of.viable.,Monocytes,Monocytes....of.viable.,Inflammitory.Monocytes,Other.Monocytes,Resident.Monocytes
DO.0001,F,G7,LGDO-F-01,6/22/2011,8/7/2012,412,FCM (M) 59wks,95.7,79,22.6,20.1,4.55,59.3,13.4,19.1,4.31,43.1,11.2,45.7
DO.0001,F,G7,LGDO-F-01,6/22/2011,2/5/2013,594,FCM (M) 85wks,97.4,71.6,28.2,20.8,5.88,52.1,14.7,24.9,7.01,40.9,20.3,38.8
DO.0001,F,G7,LGDO-F-01,6/22/2011,2/7/2012,230,FCM (M) 33wks,96.1,70.1,23.7,16,3.8,48.3,11.4,27.6,6.54,32.8,10.2,56.9
DO.0002,F,G7,LGDO-F-01,6/22/2011,2/7/2012,230,FCM (M) 33wks,93.8,64,37.1,5.07,1.88,48.6,18,37.6,14,40.4,12.6,47
DO.0003,F,G7,LGDO-F-01,6/24/2011,8/7/2012,410,FCM (M) 59wks,95.5,67.9,30.6,3.11,0.95,74.9,22.9,20.3,6.2,37.7,27.3,35
DO.0003,F,G7,LGDO-F-01,6/24/2011,2/5/2013,592,FCM (M) 85wks,96.9,69.1,35.2,5.57,1.96,68.7,24.2,24.7,8.68,26,27.6,46.4
DO.0003,F,G7,LGDO-F-01,6/24/2011,2/7/2012,228,FCM (M) 33wks,94.5,60.2,18.2,4.34,0.79,56.6,10.3,31.3,5.69,39.2,23.3,37.6
DO.0004,F,G7,LGDO-F-01,6/24/2011,8/7/2012,410,FCM (M) 59wks,95.5,60.3,15.2,9.3,1.41,33.2,5.04,53.2,8.07,1.78,53.9,44.4
DO.0004,F,G7,LGDO-F-01,6/24/2011,2/7/2012,228,FCM (M) 33wks,94,53.8,22.4,6.75,1.51,52,11.6,30.9,6.9,1.29,47.9,50.9
DO.0005,F,G7,LGDO-F-01,6/21/2011,8/7/2012,413,FCM (M) 59wks,94.5,78.8,27.9,5.16,1.44,33.3,9.3,55.4,15.5,22.3,5.86,71.9
DO.0005,F,G7,LGDO-F-01,6/21/2011,2/5/2013,595,FCM (M) 85wks,93.6,83.3,36.8,2.48,0.91,20.8,7.66,73.6,27.1,15.4,4.28,80.4
DO.0005,F,G7,LGDO-F-01,6/21/2011,2/7/2012,231,FCM (M) 33wks,94.6,71.9,22,3.5,0.77,46.1,10.2,43.8,9.63,39.5,19.9,40.6
DO.0006,F,G7,LGDO-F-02,6/22/2011,2/7/2012,230,FCM (M) 33wks,93.9,58.9,33,5.78,1.91,62.8,20.7,25.3,8.34,54.5,22.9,22.6
DO.0006,F,G7,LGDO-F-02,6/22/2011,8/7/2012,412,FCM (M) 59wks,95.9,67.3,30.1,8.67,2.61,59,17.8,29.8,8.96,55.2,17.6,27.2
DO.0006,F,G7,LGDO-F-02,6/22/2011,2/5/2013,594,FCM (M) 85wks,97.4,61,28.3,9.19,2.6,56,15.8,33.2,9.38,44.4,35.4,20.2
