Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,Single.Cells,Viable.Cells,All.Lymphocytes,B.Cells,B.Cells....of.viable.,CD62L..B.Cells,CD4..T.Cells,CD4..T.Cells....of.viable.,CD4..Effector.Memory.T.Cells,CD4..Central.Memory.T.Cells,CD4..Naive.T.Cells,CD4..Effect.T.Cells,CD8..T.Cells,CD8..T.Cells....of.viable.,CD8..Effector.Memory.T.Cells,CD8..Central.Memory.T.Cells,CD8..Naive.T.Cells,CD8..Effect.T.Cells,NK.Cells,NK.Cells....viable.,NKG2A.C.E..T.Cell,NKG2A.C.E.....of.viable.,NKG2A.C.E..CD4..T.Cells,NKG2A.C.E..CD8..T.Cells,NKG2A.C.E..DN.T.Cells
DO.0001,F,G7,LGDO-F-01,6/22/2011,2/5/2013,594,FCM (T-B-NK) 85wks,96.9,71.1,72,54.7,39.4,44.4,17.6,12.7,19.6,10.2,47.8,22.4,8.25,5.94,6.42,27.8,62.6,3.16,0.21,0.15,0.18,0.13,7.69,60,32.3
DO.0001,F,G7,LGDO-F-01,6/22/2011,8/7/2012,412,FCM (T-B-NK) 59wks,94.7,76.7,82.8,56.3,46.6,43.4,19.9,16.5,13.5,5.66,33.5,47.3,8.69,7.19,11.2,9.83,32,46.9,0.44,0.36,0.088,0.073,5.26,39.5,55.3
DO.0003,F,G7,LGDO-F-01,6/24/2011,2/5/2013,592,FCM (T-B-NK) 85wks,97,68.5,66,63.9,42.2,71,7.88,5.2,34.4,11.1,17.3,37.2,6.18,4.08,13.4,17.7,52.1,16.8,0.59,0.39,1.17,0.77,2.56,80.3,17.1
DO.0003,F,G7,LGDO-F-01,6/24/2011,8/7/2012,410,FCM (T-B-NK) 59wks,92.7,69.5,79.6,56.5,45,56.8,12.7,10.1,26.5,12,24.7,36.8,9.48,7.55,10.2,14.4,48.3,27.1,1.4,1.11,1.12,0.9,2.59,82.1,15.3
DO.0004,F,G7,LGDO-F-01,6/24/2011,8/7/2012,410,FCM (T-B-NK) 59wks,94.8,55.1,88.4,73.4,64.9,28.2,8.5,7.51,19.9,4.15,4.9,71,2.7,2.39,34.5,7.2,5.76,52.6,0.41,0.36,0.16,0.14,5.71,50,44.3
DO.0005,F,G7,LGDO-F-01,6/21/2011,2/5/2013,595,FCM (T-B-NK) 85wks,93.5,82.9,77.8,52.2,40.6,66.6,8.07,6.28,22.7,5.35,28.7,43.2,8.39,6.53,9.03,14.2,61.9,14.8,0.5,0.39,1.21,0.94,6.9,89.1,3.77
DO.0005,F,G7,LGDO-F-01,6/21/2011,8/7/2012,413,FCM (T-B-NK) 59wks,92.8,75.5,86.7,57.1,49.5,56.2,9.58,8.31,21.7,6.82,25.8,45.6,10.7,9.25,15.9,12.1,38.9,33.1,0.8,0.69,0.76,0.66,4.78,87.5,7.46
DO.0006,F,G7,LGDO-F-02,6/22/2011,2/5/2013,594,FCM (T-B-NK) 85wks,98.3,56.3,75.1,54.8,41.2,21.1,9.48,7.13,16.7,7.34,32.3,43.6,9.47,7.12,13.3,20,49.6,17.1,0.26,0.2,0.5,0.38,3.21,83.4,11.8
DO.0006,F,G7,LGDO-F-02,6/22/2011,8/7/2012,412,FCM (T-B-NK) 59wks,94.4,66.7,80.6,54.6,44,10.9,11.1,8.97,21.6,6.87,20.7,50.8,11.9,9.58,26.8,15.2,17.4,40.5,0.4,0.32,0.91,0.74,1.62,90.3,7.84
DO.0006,F,G7,LGDO-F-02,6/22/2011,2/7/2012,230,FCM (T-B-NK) 33wks,94.2,46.5,77.4,41.7,32.3,15.2,20.1,15.6,13.9,6.24,35.2,44.6,19.5,15.1,11.7,19.2,40.4,28.7,0.55,0.43,0.92,0.71,5.35,67.9,26.7
DO.0007,F,G7,LGDO-F-02,6/20/2011,8/7/2012,414,FCM (T-B-NK) 59wks,89.3,64.9,60.7,46,27.9,58.9,16.5,10,15.2,1.93,18.9,64,9.39,5.7,25.6,5.16,28,41.3,0.46,0.28,0.67,0.4,5,82.7,12.3
DO.0007,F,G7,LGDO-F-02,6/20/2011,2/7/2012,232,FCM (T-B-NK) 33wks,90.9,50.8,41.5,37.9,15.7,78.1,17.1,7.08,36.6,7.08,20.4,35.9,13.5,5.6,28.3,10.2,36.6,25,0.033,0.014,0.35,0.14,5.66,64.2,30.2
DO.0008,F,G7,LGDO-F-02,6/24/2011,8/7/2012,410,FCM (T-B-NK) 59wks,94,49,73.9,49,36.2,48.9,11.1,8.22,22.7,6.58,23.2,47.5,9.01,6.66,30.7,9.22,21.6,38.4,0.56,0.42,0.76,0.56,2.47,68.9,27.9
DO.0008,F,G7,LGDO-F-02,6/24/2011,2/7/2012,228,FCM (T-B-NK) 33wks,92.7,43.6,83.8,54.9,46,61.1,19.4,16.3,14.7,6.33,45.5,33.5,9.08,7.61,10.8,8.55,58.7,21.9,0.86,0.72,0.75,0.63,9.58,49.1,41.3
DO.0009,F,G7,LGDO-F-02,6/19/2011,2/5/2013,597,FCM (T-B-NK) 85wks,96.5,70.9,68.7,51,35,61.4,10.8,7.42,23.6,5.76,15.2,55.4,11.7,8.04,16.2,7.94,35,40.9,0.13,0.088,0.24,0.17,15.3,78.8,4.71
DO.0009,F,G7,LGDO-F-02,6/19/2011,8/7/2012,415,FCM (T-B-NK) 59wks,94.5,77.8,84.3,54.3,45.7,43,12.8,10.8,19.1,5.19,12,63.7,13.6,11.5,27.3,9.21,21.1,42.4,0.47,0.39,0.41,0.35,3.43,83.4,13.1
