Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,BW,Sodium.mmol.L,Potassium.mmol.L,BUN.mg.dl,Magnesium.mg.dl
DO.0001,F,G7,LGDO-F-01,6/22/2011,7/10/2012,384,Bld-6 55wks,36.31,150.8,6.18,27,2.1
DO.0001,F,G7,LGDO-F-01,6/22/2011,1/9/2013,567,Bld-6 81wks,37.97,148.8,5.9,22,2.2
DO.0001,F,G7,LGDO-F-01,6/22/2011,1/10/2012,202,Bld-6 29wks,31.31,148.6,6.83,17,2.2
DO.0002,F,G7,LGDO-F-01,6/22/2011,1/10/2012,202,Bld-6 29wks,35.21,152.1,7.39,20,2.2
DO.0003,F,G7,LGDO-F-01,6/24/2011,7/10/2012,382,Bld-6 55wks,33.57,148.8,6.84,19,2
DO.0003,F,G7,LGDO-F-01,6/24/2011,1/9/2013,565,Bld-6 81wks,36.6,152.2,6.33,22,2.3
DO.0003,F,G7,LGDO-F-01,6/24/2011,1/10/2012,200,Bld-6 29wks,27.03,150.8,6.86,22,2
DO.0004,F,G7,LGDO-F-01,6/24/2011,7/10/2012,382,Bld-6 55wks,29.25,147.9,7.07,22,2
DO.0004,F,G7,LGDO-F-01,6/24/2011,1/10/2012,200,Bld-6 29wks,30.57,152.2,7.18,21,2
DO.0005,F,G7,LGDO-F-01,6/21/2011,1/10/2012,203,Bld-6 29wks,31.65,151.1,7.03,26,2
DO.0005,F,G7,LGDO-F-01,6/21/2011,7/10/2012,385,Bld-6 55wks,33.22,150.2,6.41,22,1.9
DO.0005,F,G7,LGDO-F-01,6/21/2011,1/9/2013,568,Bld-6 81wks,27.53,NA,NA,25,2.2
DO.0006,F,G7,LGDO-F-02,6/22/2011,7/10/2012,384,Bld-6 55wks,55.26,150,6.87,20,2
DO.0006,F,G7,LGDO-F-02,6/22/2011,1/9/2013,567,Bld-6 81wks,60.12,151.2,7.03,22,1.9
DO.0006,F,G7,LGDO-F-02,6/22/2011,1/10/2012,202,Bld-6 29wks,46.05,148.7,6.88,19,2.2
DO.0007,F,G7,LGDO-F-02,6/20/2011,7/10/2012,386,Bld-6 55wks,22.03,151.6,5.29,20,1.6
DO.0007,F,G7,LGDO-F-02,6/20/2011,1/10/2012,204,Bld-6 29wks,21.88,158.5,6.05,24,2
DO.0008,F,G7,LGDO-F-02,6/24/2011,7/10/2012,382,Bld-6 55wks,29.63,150.6,7.01,24,1.9
DO.0008,F,G7,LGDO-F-02,6/24/2011,1/10/2012,200,Bld-6 29wks,24.56,152.7,7.32,25,2
DO.0009,F,G7,LGDO-F-02,6/19/2011,7/10/2012,387,Bld-6 55wks,47.68,152.7,7.11,20,2
DO.0009,F,G7,LGDO-F-02,6/19/2011,1/9/2013,570,Bld-6 81wks,52.21,157.8,7.06,21,2.2
DO.0009,F,G7,LGDO-F-02,6/19/2011,1/10/2012,205,Bld-6 29wks,40.36,154.3,7.03,18,1.8
DO.0010,F,G7,LGDO-F-02,6/20/2011,7/10/2012,386,Bld-6 55wks,38.57,148.9,6.87,19,2.1
DO.0010,F,G7,LGDO-F-02,6/20/2011,1/10/2012,204,Bld-6 29wks,34.42,154.4,7.72,17,2.2
DO.0011,F,G7,LGDO-F-03,6/20/2011,1/10/2012,204,Bld-6 29wks,23.07,149.8,7.7,22,2.1
DO.0012,F,G7,LGDO-F-03,6/23/2011,7/10/2012,383,Bld-6 55wks,32.18,151.3,6.81,24,2.3
DO.0012,F,G7,LGDO-F-03,6/23/2011,1/9/2013,566,Bld-6 81wks,32.45,152.4,7.13,21,2.3
DO.0012,F,G7,LGDO-F-03,6/23/2011,1/10/2012,201,Bld-6 29wks,27.59,151.9,6.86,18,2
DO.0013,F,G7,LGDO-F-03,6/21/2011,7/10/2012,385,Bld-6 55wks,30.44,151.9,7.16,22,2.1
DO.0013,F,G7,LGDO-F-03,6/21/2011,1/9/2013,568,Bld-6 81wks,31.89,158.1,7.01,24,2.1
DO.0013,F,G7,LGDO-F-03,6/21/2011,1/10/2012,203,Bld-6 29wks,23.42,150.8,7.41,19,2.2
DO.0014,F,G7,LGDO-F-03,6/19/2011,1/10/2012,205,Bld-6 29wks,23.05,152.4,7.27,19,2.2
DO.0015,F,G7,LGDO-F-03,6/30/2011,1/24/2012,208,Bld-6 29wks,28.2,148.8,5.58,18,2
DO.0015,F,G7,LGDO-F-03,6/30/2011,7/10/2012,376,Bld-6 55wks,29.26,149.2,6.75,15,2
DO.0015,F,G7,LGDO-F-03,6/30/2011,1/9/2013,559,Bld-6 81wks,27.7,160,7.27,24,2.4
DO.0016,F,G7,LGDO-F-04,6/30/2011,1/24/2012,208,Bld-6 29wks,36.08,149,6.78,20,2.1
DO.0016,F,G7,LGDO-F-04,6/30/2011,7/17/2012,383,Bld-6 55wks,38.44,150.7,7.14,22,2.1
DO.0016,F,G7,LGDO-F-04,6/30/2011,1/14/2013,564,Bld-6 81wks,39.61,150,7.11,17,2
DO.0017,F,G7,LGDO-F-04,6/30/2011,1/24/2012,208,Bld-6 29wks,24.62,148.9,7.2,25,2.1
DO.0017,F,G7,LGDO-F-04,6/30/2011,7/17/2012,383,Bld-6 55wks,26.04,0,0,29,2.4
DO.0017,F,G7,LGDO-F-04,6/30/2011,1/14/2013,564,Bld-6 81wks,30.89,148.3,7.13,29,2.3
DO.0018,F,G7,LGDO-F-04,6/27/2011,7/17/2012,386,Bld-6 55wks,25.75,0,0,19,2.3
DO.0018,F,G7,LGDO-F-04,6/27/2011,1/14/2013,567,Bld-6 81wks,27.56,150.6,6.79,23,2
DO.0018,F,G7,LGDO-F-04,6/27/2011,1/17/2012,204,Bld-6 29wks,27.92,145.8,6.32,25,2.1
DO.0019,F,G7,LGDO-F-04,6/30/2011,1/24/2012,208,Bld-6 29wks,22.69,148.2,6.24,22,1.9
DO.0020,F,G7,LGDO-F-04,6/30/2011,1/24/2012,208,Bld-6 29wks,28.53,150.5,6.25,18,2.2
DO.0020,F,G7,LGDO-F-04,6/30/2011,7/17/2012,383,Bld-6 55wks,30.57,150.9,6.48,18,1.9
DO.0020,F,G7,LGDO-F-04,6/30/2011,1/14/2013,564,Bld-6 81wks,32.11,150.3,6.25,15,2
DO.0021,F,G7,LGDO-F-05,6/30/2011,1/24/2012,208,Bld-6 29wks,37.57,149.5,6.36,19,2.2
DO.0021,F,G7,LGDO-F-05,6/30/2011,7/17/2012,383,Bld-6 55wks,42.57,148.3,5.75,24,2.1
