Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,Grip.1,Grip.2,Grip.3
DO.0661,F,G8,CSDO-F-13,10/24/2011,10/27/2012,369,Grip 52wks,0.151,0.231,0.201
DO.0663,F,G8,CSDO-F-13,10/25/2011,4/24/2013,547,Grip 78wks,0.19,0.19,0.179
DO.0664,F,G8,CSDO-F-13,10/23/2011,4/24/2013,549,Grip 78wks,0.096,0.103,0.137
DO.0666,F,G8,CSDO-F-14,10/27/2011,10/27/2012,366,Grip 52wks,0.196,0.208,0.18
DO.0667,F,G8,CSDO-F-14,10/24/2011,5/1/2013,555,Grip 78wks,0.171,0.157,0.131
DO.0669,F,G8,CSDO-F-14,10/26/2011,5/1/2013,553,Grip 78wks,0.112,0.106,0.072
DO.0670,F,G8,CSDO-F-14,10/23/2011,10/27/2012,370,Grip 52wks,0.15,0.234,0.196
DO.0671,F,G8,CSDO-F-15,10/24/2011,5/1/2013,555,Grip 78wks,0.118,0.158,0.141
DO.0672,F,G8,CSDO-F-15,10/23/2011,10/27/2012,370,Grip 52wks,0.227,0.241,0.208
DO.0673,F,G8,CSDO-F-15,10/24/2011,5/1/2013,555,Grip 78wks,0.143,0.1,0.082
DO.0674,F,G8,CSDO-F-15,10/22/2011,10/27/2012,371,Grip 52wks,0.167,0.202,0.244
DO.0675,F,G8,CSDO-F-15,10/22/2011,10/27/2012,371,Grip 52wks,0.224,0.28,0.248
DO.0676,F,G8,CSDO-F-16,10/22/2011,11/3/2012,378,Grip 52wks,0.16,0.147,0.147
DO.0677,F,G8,CSDO-F-16,10/23/2011,11/3/2012,377,Grip 52wks,0.142,0.184,0.184
DO.0678,F,G8,CSDO-F-16,10/25/2011,10/27/2012,368,Grip 52wks,0.224,0.14,0.182
DO.0679,F,G8,CSDO-F-16,10/22/2011,11/3/2012,378,Grip 52wks,0.137,0.199,0.169
DO.0680,F,G8,CSDO-F-16,10/25/2011,11/3/2012,375,Grip 52wks,0.192,0.213,0.182
DO.0682,F,G8,CSDO-F-17,10/24/2011,10/27/2012,369,Grip 52wks,0.219,0.203,0.232
DO.0683,F,G8,CSDO-F-17,10/23/2011,4/24/2013,549,Grip 78wks,0.118,0.128,0.14
DO.0684,F,G8,CSDO-F-17,10/23/2011,4/24/2013,549,Grip 78wks,0.194,0.246,0.137
DO.0685,F,G8,CSDO-F-17,10/24/2011,4/24/2013,548,Grip 78wks,0.102,0.097,0.106
DO.0686,F,G8,CSDO-F-18,10/22/2011,10/27/2012,371,Grip 52wks,0.205,0.156,0.248
DO.0688,F,G8,CSDO-F-18,10/22/2011,11/3/2012,378,Grip 52wks,0.128,0.137,0.143
DO.0690,F,G8,CSDO-F-18,10/25/2011,11/3/2012,375,Grip 52wks,0.258,0.222,0.166
DO.0691,F,G8,CSDO-F-19,10/25/2011,10/27/2012,368,Grip 52wks,0.213,0.167,0.233
DO.0692,F,G8,CSDO-F-19,10/22/2011,5/8/2013,564,Grip 78wks,0.158,0.14,0.119
DO.0693,F,G8,CSDO-F-19,10/25/2011,5/8/2013,561,Grip 78wks,0.179,0.125,0.159
DO.0694,F,G8,CSDO-F-19,10/27/2011,5/8/2013,559,Grip 78wks,0.181,0.162,0.151
DO.0695,F,G8,CSDO-F-19,10/23/2011,5/8/2013,563,Grip 78wks,0.134,0.142,0.096
DO.0696,F,G8,CSDO-F-20,10/26/2011,11/3/2012,374,Grip 52wks,0.179,0.176,0.155
DO.0698,F,G8,CSDO-F-20,10/27/2011,11/3/2012,373,Grip 52wks,0.128,0.17,0.185
DO.0700,F,G8,CSDO-F-20,10/23/2011,11/3/2012,377,Grip 52wks,0.14,0.144,0.217
DO.0701,F,G8,CSDO-F-21,10/26/2011,5/8/2013,560,Grip 78wks,0.141,0.155,0.123
DO.0702,F,G8,CSDO-F-21,10/23/2011,5/8/2013,563,Grip 78wks,0.163,0.156,0.14
DO.0703,F,G8,CSDO-F-21,10/27/2011,5/8/2013,559,Grip 78wks,0.153,0.138,0.161
DO.0704,F,G8,CSDO-F-21,10/24/2011,10/27/2012,369,Grip 52wks,0.214,0.157,0.139
DO.0706,F,G8,CSDO-F-22,10/24/2011,5/1/2013,555,Grip 78wks,0.148,0.16,0.155
DO.0707,F,G8,CSDO-F-22,10/26/2011,5/1/2013,553,Grip 78wks,0.118,0.134,0.119
DO.0708,F,G8,CSDO-F-22,10/23/2011,10/27/2012,370,Grip 52wks,0.117,0.136,0.163
DO.0709,F,G8,CSDO-F-22,10/25/2011,5/1/2013,554,Grip 78wks,0.123,0.126,0.12
DO.0710,F,G8,CSDO-F-22,10/22/2011,5/1/2013,557,Grip 78wks,0.11,0.112,0.114
DO.0711,F,G8,CSDO-F-23,10/27/2011,10/27/2012,366,Grip 52wks,0.192,0.141,0.127
DO.0712,F,G8,CSDO-F-23,10/22/2011,4/24/2013,550,Grip 78wks,0.13,0.176,0.169
DO.0713,F,G8,CSDO-F-23,10/24/2011,4/24/2013,548,Grip 78wks,0.145,0.142,0.14
DO.0714,F,G8,CSDO-F-23,10/27/2011,4/24/2013,545,Grip 78wks,0.168,0.12,0.117
DO.0715,F,G8,CSDO-F-23,10/25/2011,4/24/2013,547,Grip 78wks,0.147,0.157,0.133
DO.0716,F,G8,CSDO-F-24,10/25/2011,10/27/2012,368,Grip 52wks,0.181,0.253,0.142
DO.0717,F,G8,CSDO-F-24,10/22/2011,11/3/2012,378,Grip 52wks,0.129,0.111,0.208
DO.0718,F,G8,CSDO-F-24,10/25/2011,11/3/2012,375,Grip 52wks,0.158,0.225,0.16
DO.0719,F,G8,CSDO-F-24,10/23/2011,11/3/2012,377,Grip 52wks,0.18,0.191,0.16
DO.0720,F,G8,CSDO-F-24,10/26/2011,11/3/2012,374,Grip 52wks,0.108,0.078,0.085
DO.0721,F,G9,CSDO-F-25,2/21/2012,2/21/2013,366,Grip 52wks,0.129,0.136,0.128
DO.0722,F,G9,CSDO-F-25,2/22/2012,2/21/2013,365,Grip 52wks,0.161,0.21,0.196
DO.0723,F,G9,CSDO-F-25,2/19/2012,2/21/2013,368,Grip 52wks,0.125,0.117,0.135
DO.0725,F,G9,CSDO-F-25,2/21/2012,2/21/2013,366,Grip 52wks,0.146,0.208,0.14
DO.0726,F,G9,CSDO-F-26,2/19/2012,3/6/2013,381,Grip 52wks,0.103,0.168,0.157
DO.0727,F,G9,CSDO-F-26,2/20/2012,3/6/2013,380,Grip 52wks,0.173,0.117,0.137
DO.0728,F,G9,CSDO-F-26,2/20/2012,3/6/2013,380,Grip 52wks,0.127,0.134,0.163
DO.0729,F,G9,CSDO-F-26,2/22/2012,3/6/2013,378,Grip 52wks,0.085,0.156,0.161
DO.0730,F,G9,CSDO-F-26,2/20/2012,3/6/2013,380,Grip 52wks,0.167,0.111,0.17
DO.0731,F,G9,CSDO-F-27,2/20/2012,2/21/2013,367,Grip 52wks,0.194,0.136,0.198
DO.0732,F,G9,CSDO-F-27,2/20/2012,2/21/2013,367,Grip 52wks,0.098,0.095,0.098
DO.0735,F,G9,CSDO-F-27,2/22/2012,2/21/2013,365,Grip 52wks,0.123,0.165,0.211
DO.0736,F,G9,CSDO-F-28,2/23/2012,3/6/2013,377,Grip 52wks,0.117,0.135,0.146
DO.0737,F,G9,CSDO-F-28,2/21/2012,3/6/2013,379,Grip 52wks,0.205,0.128,0.151
DO.0738,F,G9,CSDO-F-28,2/22/2012,3/6/2013,378,Grip 52wks,0.141,0.154,0.116
DO.0739,F,G9,CSDO-F-28,2/21/2012,3/6/2013,379,Grip 52wks,0.153,0.144,0.133
DO.0740,F,G9,CSDO-F-28,2/21/2012,3/6/2013,379,Grip 52wks,0.116,0.103,0.116
DO.0746,F,G9,CSDO-F-30,2/20/2012,2/27/2013,373,Grip 52wks,0.14,0.144,0.147
DO.0747,F,G9,CSDO-F-30,2/22/2012,2/27/2013,371,Grip 52wks,0.141,0.189,0.19
DO.0748,F,G9,CSDO-F-30,2/22/2012,2/27/2013,371,Grip 52wks,0.293,0.18,0.109
DO.0750,F,G9,CSDO-F-30,2/22/2012,2/27/2013,371,Grip 52wks,0.132,0.122,0.125
DO.0756,F,G9,CSDO-F-32,2/22/2012,2/27/2013,371,Grip 52wks,0.117,0.127,0.16
DO.0757,F,G9,CSDO-F-32,2/18/2012,2/27/2013,375,Grip 52wks,0.143,0.118,0.137
DO.0758,F,G9,CSDO-F-32,2/19/2012,2/27/2013,374,Grip 52wks,0.098,0.1,0.105
DO.0759,F,G9,CSDO-F-32,2/20/2012,2/27/2013,373,Grip 52wks,0.115,0.107,0.116
DO.0760,F,G9,CSDO-F-32,2/20/2012,2/27/2013,373,Grip 52wks,0.122,0.103,0.091
DO.0771,F,G9,CSDO-F-35,2/19/2012,2/27/2013,374,Grip 52wks,0.139,0.166,0.139
DO.0772,F,G9,CSDO-F-35,2/19/2012,2/27/2013,374,Grip 52wks,0.113,0.141,0.091
DO.0773,F,G9,CSDO-F-35,2/19/2012,2/27/2013,374,Grip 52wks,0.148,0.136,0.115
DO.0774,F,G9,CSDO-F-35,2/21/2012,2/27/2013,372,Grip 52wks,0.127,0.108,0.097
DO.0775,F,G9,CSDO-F-35,2/18/2012,2/27/2013,375,Grip 52wks,0.127,0.126,0.141
DO.0781,F,G10,CSDO-F-37,5/18/2012,11/14/2013,545,Grip 78wks,0.131,0.174,0.172
DO.0782,F,G10,CSDO-F-37,5/17/2012,11/14/2013,546,Grip 78wks,0.152,0.138,0.134
DO.0783,F,G10,CSDO-F-37,5/16/2012,11/14/2013,547,Grip 78wks,0.165,0.176,0.17
DO.0784,F,G10,CSDO-F-37,5/15/2012,11/14/2013,548,Grip 78wks,0.118,0.142,0.097
DO.0785,F,G10,CSDO-F-37,5/15/2012,11/14/2013,548,Grip 78wks,0.143,0.189,0.156
DO.0786,F,G10,CSDO-F-38,5/12/2012,12/3/2012,205,Grip 26wks,0.162,0.124,0.134
DO.0787,F,G10,CSDO-F-38,5/15/2012,12/3/2012,202,Grip 26wks,0.153,0.1,0.098
DO.0788,F,G10,CSDO-F-38,5/16/2012,12/3/2012,201,Grip 26wks,0.166,0.141,0.177
DO.0789,F,G10,CSDO-F-38,5/14/2012,12/3/2012,203,Grip 26wks,0.123,0.147,0.151
