Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,BW,WBC..x103.uL.,RBC..x106.uL.,HGB..g.dL.,HCT....,MCV..fL.,MCH..pg.,MCHC..g.dL.,Plt..x103.uL.,MPV..fL.,X.Retic,X.Retic.109cells.l.,X.Neut,X.LYMPH,X.MONO,X.EOS,X.BASO,X.LUC,X.NEUT.103cells.uL.,X.LYMPH.103cells.uL.,X.MONO.103cells.uL.,X.EOS.103cells.uL.,X.BASO.103cells.uL.,X.LUC.103cells.uL.,CHCM.g.dL.,Tube.A..plasma.vl.,Plasma.Box.ID
DO.0001,F,G7,LGDO-F-01,6/22/2011,1/25/2012,217,Bld-2 31wks,30.67,5.26,11.31,16.6,59.9,53,14.7,27.7,1116,7.6,0,0,7.9,84.3,1.8,5.3,0.3,0.4,0.42,4.44,0.1,0.28,0.01,0.02,27.3,40,JDO-B-012512-01
DO.0002,F,G7,LGDO-F-01,6/22/2011,1/25/2012,217,Bld-2 31wks,38.24,6.24,11.36,16.9,59.4,52.3,14.9,28.5,1691,6.9,0,0,27.6,64.9,3.1,3.9,0.2,0.3,1.72,4.05,0.2,0.24,0.01,0.02,28.1,40,JDO-B-012512-01
DO.0003,F,G7,LGDO-F-01,6/24/2011,1/25/2012,215,Bld-2 31wks,27.98,7.57,10.74,16.7,58.7,54.7,15.6,28.5,1605,7.4,0,0,9.8,85.7,1.4,2.2,0.2,0.7,0.74,6.49,0.11,0.17,0.02,0.05,27.9,40,JDO-B-012512-01
DO.0004,F,G7,LGDO-F-01,6/24/2011,1/25/2012,215,Bld-2 31wks,30.92,5.66,10.79,16.5,62.5,57.9,15.3,26.4,1496,7.4,0,0,6.6,84,2.1,6.7,0.2,0.4,0.37,4.75,0.12,0.38,0.01,0.02,26,35,JDO-B-012512-01
DO.0005,F,G7,LGDO-F-01,6/21/2011,1/25/2012,218,Bld-2 31wks,33.93,7.87,11.11,16.2,61.5,55.3,14.5,26.3,1438,7.5,0,0,9.5,85.9,2.4,1.4,0.3,0.5,0.75,6.76,0.19,0.11,0.02,0.04,26.2,20,JDO-B-012512-01
DO.0006,F,G7,LGDO-F-02,6/22/2011,1/25/2012,217,Bld-2 31wks,47.63,5.74,10.56,15.5,56.7,53.7,14.7,27.3,1110,7.3,0,0,13.2,80.4,2.2,3.4,0.2,0.7,0.76,4.61,0.13,0.19,0.01,0.04,26.7,40,JDO-B-012512-01
DO.0007,F,G7,LGDO-F-02,6/20/2011,1/25/2012,219,Bld-2 31wks,21.72,6.45,10.74,15.4,58.8,54.7,14.4,26.2,2700,7.5,0,0,57.2,36.8,2.1,2.1,0.2,1.5,3.69,2.37,0.14,0.14,0.02,0.1,26.2,45,JDO-B-012512-01
DO.0008,F,G7,LGDO-F-02,6/24/2011,1/25/2012,215,Bld-2 31wks,24.9,4.29,11.43,15.5,60.9,53.3,13.6,25.4,1167,6.6,0,0,8.8,86.8,1.4,2.6,0.2,0.3,0.38,3.73,0.06,0.11,0.01,0.01,24.9,40,JDO-B-012512-01
DO.0009,F,G7,LGDO-F-02,6/19/2011,1/25/2012,220,Bld-2 31wks,41.68,5.98,10.28,15.9,59.1,57.5,15.4,26.9,1079,7.8,0,0,7.6,84.8,2.3,4.7,0.3,0.5,0.45,5.07,0.14,0.28,0.02,0.03,26.1,40,JDO-B-012512-01
DO.0010,F,G7,LGDO-F-02,6/20/2011,1/25/2012,219,Bld-2 31wks,32.55,4.26,10.24,15.3,55.4,54,14.9,27.6,966,7.7,0,0,18.3,72.4,3.5,5.1,0.3,0.4,0.78,3.09,0.15,0.22,0.01,0.02,26.5,40,JDO-B-012512-01
DO.0011,F,G7,LGDO-F-03,6/20/2011,1/25/2012,219,Bld-2 31wks,22.84,9.4,10.84,16.3,57.7,53.2,15,28.3,1346,6.9,0,0,15,80.7,1.1,2.1,0.4,0.7,1.41,7.58,0.11,0.2,0.03,0.07,27.7,30,JDO-B-012512-01
DO.0012,F,G7,LGDO-F-03,6/23/2011,1/25/2012,216,Bld-2 31wks,28.41,7.05,11.4,16.1,60.2,52.8,14.2,26.8,1243,7.5,0,0,15.9,79.4,1.9,2.1,0.2,0.6,1.12,5.6,0.13,0.15,0.01,0.04,26.3,35,JDO-B-012512-01
DO.0013,F,G7,LGDO-F-03,6/21/2011,1/25/2012,218,Bld-2 31wks,22.53,6.55,11.31,16.9,62.5,55.3,14.9,27,1007,7.1,0,0,11.3,74,3.2,10.9,0.2,0.5,0.74,4.84,0.21,0.71,0.01,0.03,26.6,35,JDO-B-012512-01
DO.0014,F,G7,LGDO-F-03,6/19/2011,1/25/2012,220,Bld-2 31wks,23.13,7.03,11.3,16.3,59.3,52.5,14.4,27.4,1331,7.1,0,0,16.8,71.3,2.7,8.3,0.3,0.6,1.18,5.01,0.19,0.58,0.02,0.04,26.8,15,JDO-B-012512-01
DO.0015,F,G7,LGDO-F-03,6/30/2011,2/8/2012,223,Bld-2 31wks,29.17,11.73,11.33,15.3,54.4,48,13.5,28.1,1358,6.4,0,0,8.9,88.4,0.6,0.7,0.5,0.9,1.05,10.37,0.07,0.08,0.06,0.11,28.6,40,JDO-B-020812-01
DO.0016,F,G7,LGDO-F-04,6/30/2011,2/8/2012,223,Bld-2 31wks,37.89,6.24,11.02,14.9,56.2,51,13.6,26.6,1866,7.3,0,0,12.6,83.4,1.5,1.6,0.3,0.6,0.79,5.2,0.09,0.1,0.02,0.04,26.3,40,JDO-B-020812-01
DO.0017,F,G7,LGDO-F-04,6/30/2011,2/8/2012,223,Bld-2 31wks,24.67,8.92,10.76,16.2,57.7,53.6,15,28,1546,6.8,0,0,6.6,88.8,1.1,2.5,0.4,0.7,0.59,7.92,0.09,0.22,0.03,0.06,28.8,40,JDO-B-020812-01
DO.0018,F,G7,LGDO-F-04,6/27/2011,1/31/2012,218,Bld-2 31wks,28.93,5.88,10.93,15.6,57.4,52.5,14.2,27.1,1617,5.9,4.74,517.7,25,67.5,3.4,2.7,0.6,0.8,1.47,3.97,0.2,0.16,0.03,0.05,26.8,40,JDO-B-013112-01
DO.0020,F,G7,LGDO-F-04,6/30/2011,2/8/2012,223,Bld-2 31wks,30.31,4.5,10.66,15.8,56.8,53.3,14.9,27.9,1136,7.7,0,0,11.6,77.4,1.2,8.6,0.6,0.7,0.52,3.49,0.05,0.39,0.03,0.03,27.7,40,JDO-B-020812-01
DO.0021,F,G7,LGDO-F-05,6/30/2011,2/8/2012,223,Bld-2 31wks,39.68,7.04,10.92,16.3,61.2,56.1,14.9,26.6,1811,7.1,0,0,13.7,81.7,1.7,2.1,0.3,0.6,0.96,5.75,0.12,0.15,0.02,0.04,26.4,40,JDO-B-020812-01
DO.0022,F,G7,LGDO-F-05,6/29/2011,1/31/2012,216,Bld-2 31wks,41.53,6.8,10.48,15.3,55.8,53.3,14.6,27.5,1429,6,0,0,15.8,76.4,4.7,2,0.4,0.6,1.07,5.19,0.32,0.14,0.03,0.04,27,40,JDO-B-013112-01
DO.0023,F,G7,LGDO-F-05,6/30/2011,2/8/2012,223,Bld-2 31wks,34.09,9.97,10.67,15.3,58.6,54.9,14.3,26.1,1798,7.3,0,0,11.2,82.6,1.7,3.4,0.4,0.8,1.12,8.23,0.16,0.34,0.04,0.08,25.6,40,JDO-B-020812-01
DO.0024,F,G7,LGDO-F-05,6/29/2011,1/31/2012,216,Bld-2 31wks,21.12,9.1,10.54,15.6,56.5,53.6,14.8,27.7,761,6.7,0,0,7.8,87.7,2.3,0.8,0.4,1,0.71,7.98,0.21,0.07,0.04,0.09,27.3,40,JDO-B-013112-01
DO.0025,F,G7,LGDO-F-05,6/30/2011,2/8/2012,223,Bld-2 31wks,35,11.9,11.52,17,61.9,53.8,14.8,27.5,1111,6.9,0,0,8.5,84.9,1.8,3.4,0.5,0.8,1.01,10.11,0.21,0.4,0.06,0.1,27,40,JDO-B-020812-01
DO.0026,F,G7,LGDO-F-06,6/27/2011,1/31/2012,218,Bld-2 31wks,28.51,4.61,11.05,16.9,60.4,54.7,15.3,27.9,1361,6.4,0,0,11.8,80.4,1.6,4.5,0.8,0.8,0.55,3.71,0.07,0.21,0.04,0.04,27.9,40,JDO-B-013112-01
