Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,BW,Glucose,IGF.1,IGF.1.control,Tube.A..plasma.vl.,Tube.B..plasma.vl.,Tube.C..plasma.vl.,Plasma.Box.ID
DO.0001,F,G7,LGDO-F-01,6/22/2011,8/6/2012,411,Bld-7 59wks,35.96,124,408.378,250.096,65,15,70,
DO.0001,F,G7,LGDO-F-01,6/22/2011,2/5/2013,594,Bld-7 85wks,36.18,114,353.435,257.376,65,15,65,
DO.0001,F,G7,LGDO-F-01,6/22/2011,2/7/2012,230,Bld-7 33wks,30.99,129,233.57,381.53,65,18,75,JDO-B-020712-01
DO.0002,F,G7,LGDO-F-01,6/22/2011,2/7/2012,230,Bld-7 33wks,40.11,153,497.1,381.53,65,18,100,JDO-B-020712-01
DO.0003,F,G7,LGDO-F-01,6/24/2011,8/6/2012,409,Bld-7 59wks,35.58,120,658.565,250.096,65,15,75,
DO.0003,F,G7,LGDO-F-01,6/24/2011,2/5/2013,592,Bld-7 85wks,34.92,103,516.346,257.376,65,15,65,
DO.0003,F,G7,LGDO-F-01,6/24/2011,2/7/2012,228,Bld-7 33wks,28.03,113,480.36,381.53,65,18,40,JDO-B-020712-01
DO.0004,F,G7,LGDO-F-01,6/24/2011,8/6/2012,409,Bld-7 59wks,28.61,126,416.854,250.096,65,15,80,
DO.0004,F,G7,LGDO-F-01,6/24/2011,2/7/2012,228,Bld-7 33wks,31.41,142,409.09,381.53,65,18,65,JDO-B-020712-01
DO.0005,F,G7,LGDO-F-01,6/21/2011,8/6/2012,412,Bld-7 59wks,34.23,112,587.713,250.096,65,15,80,
DO.0005,F,G7,LGDO-F-01,6/21/2011,2/5/2013,595,Bld-7 85wks,26.31,87,506.930,257.376,65,15,40,
DO.0005,F,G7,LGDO-F-01,6/21/2011,2/7/2012,231,Bld-7 33wks,33.64,121,329.39,381.53,65,18,65,JDO-B-020712-01
DO.0006,F,G7,LGDO-F-02,6/22/2011,8/6/2012,411,Bld-7 59wks,55.59,150,567.503,250.096,65,15,70,
DO.0006,F,G7,LGDO-F-02,6/22/2011,2/5/2013,594,Bld-7 85wks,57.45,133,540.757,257.376,65,15,90,
DO.0006,F,G7,LGDO-F-02,6/22/2011,2/7/2012,230,Bld-7 33wks,48.83,170,,NA,65,18,130,JDO-B-020712-01
DO.0007,F,G7,LGDO-F-02,6/20/2011,8/6/2012,413,Bld-7 59wks,20.86,128,286.528,250.096,65,15,100,
DO.0007,F,G7,LGDO-F-02,6/20/2011,2/7/2012,232,Bld-7 33wks,20.34,101,204.25,381.53,65,15,80,JDO-B-020712-01
DO.0008,F,G7,LGDO-F-02,6/24/2011,8/6/2012,409,Bld-7 59wks,29.58,143,474.13,250.096,65,15,100,
DO.0008,F,G7,LGDO-F-02,6/24/2011,2/7/2012,228,Bld-7 33wks,25.86,123,373.84,381.53,65,15,75,JDO-B-020712-01
DO.0009,F,G7,LGDO-F-02,6/19/2011,8/6/2012,414,Bld-7 59wks,49.2,95,638.1,282.478,65,15,90,
DO.0009,F,G7,LGDO-F-02,6/19/2011,2/5/2013,597,Bld-7 85wks,52.28,123,700.725,257.376,65,15,80,
DO.0009,F,G7,LGDO-F-02,6/19/2011,2/7/2012,233,Bld-7 33wks,42.34,98,438.85,381.53,65,15,75,JDO-B-020712-01
DO.0010,F,G7,LGDO-F-02,6/20/2011,8/6/2012,413,Bld-7 59wks,41.72,110,682.505,282.478,65,15,130,
DO.0010,F,G7,LGDO-F-02,6/20/2011,2/7/2012,232,Bld-7 33wks,32.19,147,716.74,381.53,65,15,90,JDO-B-020712-01
DO.0011,F,G7,LGDO-F-03,6/20/2011,2/7/2012,232,Bld-7 33wks,23.27,113,382.03,381.53,65,15,65,JDO-B-020712-01
DO.0012,F,G7,LGDO-F-03,6/23/2011,8/6/2012,410,Bld-7 59wks,31.93,113,545.322,282.478,65,15,80,
DO.0012,F,G7,LGDO-F-03,6/23/2011,2/5/2013,593,Bld-7 85wks,32.54,139,593.419,257.376,65,15,65,
DO.0012,F,G7,LGDO-F-03,6/23/2011,2/7/2012,229,Bld-7 33wks,29.84,86,319.51,381.53,65,15,65,JDO-B-020712-01
DO.0013,F,G7,LGDO-F-03,6/21/2011,8/6/2012,412,Bld-7 59wks,27.68,91,236.717,282.478,65,15,80,
DO.0013,F,G7,LGDO-F-03,6/21/2011,2/5/2013,595,Bld-7 85wks,32.01,84,524.128,257.376,65,15,65,
DO.0013,F,G7,LGDO-F-03,6/21/2011,2/7/2012,231,Bld-7 33wks,23.59,102,295.03,381.53,65,15,70,JDO-B-020712-01
DO.0014,F,G7,LGDO-F-03,6/19/2011,2/7/2012,233,Bld-7 33wks,23.7,99,369.71,381.53,65,15,50,JDO-B-020712-01
DO.0015,F,G7,LGDO-F-03,6/30/2011,2/21/2012,236,Bld-7 33wks,30.46,126,444.02,384.94,65,15,110,JDO-B-022112-01
DO.0015,F,G7,LGDO-F-03,6/30/2011,8/6/2012,403,Bld-7 59wks,28.55,120,696.339,282.478,65,15,100,
DO.0015,F,G7,LGDO-F-03,6/30/2011,2/5/2013,586,Bld-7 85wks,26.9,127,686.917,257.376,65,15,75,
