JCMS.Mouse.ID,SC.Number,Strain,DOB,Sex,Generation,From.Cage,Date.of.wean,JCMS.Pen..,cage.,Ear.Notch,Coat.Color,Chip.ID,Death.date,Death.type,Notes,Age..mth.,Age.of.VP,Date.of.VP,BW,Tail.Length,Urine.28wks,Bld6..29wk,Bld2.31.wk,bld7.33wks,Urine.54wk,Bld6.55wk,bld2.57wk,Bld7.59wk,Urine.80wk,Bld6.81.wk,Bld2.83wks,Bld7.85.wks,X104wk.BW.Date,X104wk.BW,X130wk.BW.Date,X130wk.BW,X26.Mo.PP.Paper,X156.wek.BW.date,X156wk.BW,X30.Mo.PP.paper,COMMENTS,survival
DO.0001,11691,J:DO,6/22/2011,F,G7,65,7/12/2011,1,LGDO-F-01,N,WB Agouti,0006DD0FE0,8/18/2014,F.D. (Y),,38.43,29,7/21/2011,13.57,7.1,1/3/2012,1/9/2012,1/23/2012,2/6/2012,7/2/2012,7/11/2012,7/25/2012,8/8/2012,12/31/2012,1/9/2013,1/23/2013,2/6/2013,6/19/2013,35.69,12/18/2013,36.04,8/14/2013,6/18/2014,NA,,*G7 104wk BW collected 10/10/13,1153
DO.0002,11692,J:DO,6/22/2011,F,G7,62,7/12/2011,1,LGDO-F-01,R,Agouti,0006DD10F0,6/18/2012,F.D. (Y),,12.07,30,7/22/2011,15.67,7.4,1/3/2012,1/9/2012,1/23/2012,2/6/2012,7/2/2012,7/11/2012,7/25/2012,8/8/2012,12/31/2012,1/9/2013,1/23/2013,2/6/2013,6/19/2013,NA,12/18/2013,NA,8/14/2013,6/18/2014,NA,,,362
DO.0003,11693,J:DO,6/24/2011,F,G7,59,7/12/2011,1,LGDO-F-01,L,Agouti,0006DFAF26,12/16/2013,F.D. (Y),,30.2,26,7/20/2011,14.54,7,1/3/2012,1/9/2012,1/23/2012,2/6/2012,7/2/2012,7/13/2012,7/27/2012,8/10/2012,12/31/2012,1/11/2013,1/25/2013,2/8/2013,6/21/2013,38.17,12/20/2013,NA,8/16/2013,6/20/2014,NA,,,906
DO.0004,11694,J:DO,6/24/2011,F,G7,57,7/12/2011,1,LGDO-F-01,B,Agouti,0006DD0A6D,10/1/2012,F.D. (Y),,15.5,26,7/20/2011,11.78,6.3,1/3/2012,1/9/2012,1/23/2012,2/6/2012,7/2/2012,7/13/2012,7/27/2012,8/10/2012,12/31/2012,1/11/2013,1/25/2013,2/8/2013,6/21/2013,NA,12/20/2013,NA,8/16/2013,6/20/2014,NA,,,465
DO.0005,11695,J:DO,6/21/2011,F,G7,58,7/12/2011,1,LGDO-F-01,2R,Agouti,0006DD64DA,12/26/2013,F.D. (Y),,30.63,28,7/19/2011,14.86,7.2,1/3/2012,1/9/2012,1/23/2012,2/6/2012,7/2/2012,7/10/2012,7/24/2012,8/7/2012,12/31/2012,1/8/2013,1/22/2013,2/5/2013,6/18/2013,22.08,12/17/2013,17.87,8/13/2013,6/17/2014,NA,,,919
DO.0006,11696,J:DO,6/22/2011,F,G7,56,7/12/2011,2,LGDO-F-02,2L,Albino,0006E7A57E,9/2/2014,F.D.,,38.93,25,7/17/2011,17.88,7.8,1/3/2012,1/9/2012,1/23/2012,2/6/2012,7/2/2012,7/11/2012,7/25/2012,8/8/2012,12/31/2012,1/9/2013,1/23/2013,2/6/2013,6/19/2013,43.87,12/18/2013,39.54,8/14/2013,6/18/2014,NA,,,1168
DO.0007,11697,J:DO,6/20/2011,F,G7,53,7/12/2011,2,LGDO-F-02,1R2L,WB Agouti,0006DD7D1C,11/5/2012,F.D. (Y),,16.8,28,7/18/2011,11.71,7.3,1/3/2012,1/9/2012,1/23/2012,2/6/2012,7/2/2012,7/9/2012,7/23/2012,8/6/2012,12/31/2012,1/7/2013,1/21/2013,2/4/2013,6/17/2013,NA,12/16/2013,NA,8/12/2013,6/16/2014,NA,,,504
DO.0008,11698,J:DO,6/24/2011,F,G7,51,7/12/2011,2,LGDO-F-02,2R1L,Albino,0006DD5C19,8/27/2012,F.D. (Y),,14.33,28,7/22/2011,13.34,7.6,1/3/2012,1/9/2012,1/23/2012,2/6/2012,7/2/2012,7/13/2012,7/27/2012,8/10/2012,12/31/2012,1/11/2013,1/25/2013,2/8/2013,6/21/2013,NA,12/20/2013,NA,8/16/2013,6/20/2014,NA,,,430
DO.0009,11699,J:DO,6/19/2011,F,G7,49,7/12/2011,2,LGDO-F-02,3R,WB Agouti,0006DCE87A,1/6/2014,F.D. (Y),,31.07,42,7/31/2011,19.24,8.4,1/3/2012,1/9/2012,1/23/2012,2/6/2012,7/2/2012,7/8/2012,7/22/2012,8/5/2012,12/31/2012,1/6/2013,1/20/2013,2/3/2013,6/16/2013,47.04,12/15/2013,35.05,8/11/2013,6/15/2014,NA,,,932
DO.0010,11700,J:DO,6/20/2011,F,G7,50,7/12/2011,2,LGDO-F-02,3L,WB Agouti,0006DD57A5,1/3/2013,F.D. (Y),,18.77,30,7/20/2011,16.81,7.5,1/3/2012,1/9/2012,1/23/2012,2/6/2012,7/2/2012,7/9/2012,7/23/2012,8/6/2012,12/31/2012,1/7/2013,1/21/2013,2/4/2013,6/17/2013,NA,12/16/2013,NA,8/12/2013,6/16/2014,NA,,,563
DO.0011,11701,J:DO,6/20/2011,F,G7,6,7/13/2011,3,LGDO-F-03,N,Agouti,0006DCEF34,3/16/2012,F.D. (Y),,9,31,7/21/2011,14.45,7.8,1/3/2012,1/9/2012,1/23/2012,2/6/2012,7/2/2012,7/9/2012,7/23/2012,8/6/2012,12/31/2012,1/7/2013,1/21/2013,2/4/2013,6/17/2013,NA,12/16/2013,NA,8/12/2013,6/16/2014,NA,,,270
DO.0012,11702,J:DO,6/23/2011,F,G7,5,7/13/2011,3,LGDO-F-03,R,Agouti,0006DD3197,9/22/2014,F.D.(Y),,39.57,29,7/22/2011,14.11,7.8,1/3/2012,1/9/2012,1/23/2012,2/6/2012,7/2/2012,7/12/2012,7/26/2012,8/9/2012,12/31/2012,1/10/2013,1/24/2013,2/7/2013,6/20/2013,32.94,12/19/2013,30.37,8/15/2013,6/19/2014,NA,,,1187
DO.0013,11703,J:DO,6/21/2011,F,G7,3,7/13/2011,3,LGDO-F-03,L,Agouti,0006EF76A1,6/9/2014,F.D. (Y),,36.13,40,7/31/2011,14.53,7.8,1/3/2012,1/9/2012,1/23/2012,2/6/2012,7/2/2012,7/10/2012,7/24/2012,8/7/2012,12/31/2012,1/8/2013,1/22/2013,2/5/2013,6/18/2013,35.29,12/17/2013,28.74,8/13/2013,6/17/2014,NA,,,1084
DO.0014,11704,J:DO,6/19/2011,F,G7,1,7/13/2011,3,LGDO-F-03,B,Agouti,0006E0AF28,3/8/2012,F.D. (Y),,8.77,#VALUE!,Before 7/17/2011,13.61,7.9,1/3/2012,1/9/2012,1/23/2012,2/6/2012,7/2/2012,7/8/2012,7/22/2012,8/5/2012,12/31/2012,1/6/2013,1/20/2013,2/3/2013,6/16/2013,NA,12/15/2013,NA,8/11/2013,6/15/2014,NA,,,263
DO.0015,11705,J:DO,6/30/2011,F,G7,143,7/18/2011,3,LGDO-F-03,2R,Agouti,0006E7C227,6/20/2013,F.D. (Y),,24.03,31,7/31/2011,17.45,8.1,1/3/2012,1/23/2012,2/6/2012,2/20/2012,7/2/2012,7/19/2012,8/2/2012,8/16/2012,12/31/2012,1/17/2013,1/31/2013,2/14/2013,6/27/2013,NA,12/26/2013,NA,8/22/2013,6/26/2014,NA,,,721
