Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,NOR.Novel.Object.Side,NOR.Center.Zone.first.10,NOR.Distance.Traveled.first.10,NOR.Dur.Periph.first.10,NOR.Lat.to.Periph.first.10,NOR.Object.Right.NP.Dur.First.10,NOR.Object.Right.CP.Dur.First.10,NOR.Object.Left.NP.Dur.10,NOR.Object.Left.CP.Dur.First.10,NOR.Object.Right.CP.Lat.first.10,NOR.Object.Left.CP.Lat.first.10,NOE.Arena,NOE.Center.Zone.Duration,NOE.Distance.Travelled,NOE.Duration.in.Periphery,NOE.Latency.to.Periphery,NOE.Object.Right..NP.Dur,NOE.Object.Right..CP.Dur,NOE.Object.Left.NP..Dur,NOE.Object.Left..CP.Dur,NOE.Object.Right..CP.Lat,NOE.Object.Left..CP.Lat
DO.0661,F,G8,CSDO-F-13,10/24/2011,11/15/2012,388,Novel Object Test,R,144.90839,4065.111,455.09156,2720.844,NA,NA,NA,0.16683,174.704,65.1638,Arena 2,253.915,8348.83,324.951,0,10.0098,10.9107,4.8047,3.10304,34.1001,29.7291
DO.0663,F,G8,CSDO-F-13,10/25/2011,4/26/2013,549,Novel Object Test,R,118.149042,6676.932,481.8509,2700,0.533856,0.033366,2.602552,0.433758,2360.7,2504.5175,Arena 1,86.8517,7553.03,511.267,22.5221,5.90578,2.46908,19.9862,3.2365,77.2089,88.4866
DO.0664,F,G8,CSDO-F-13,10/23/2011,5/2/2013,557,Novel Object Test,L,61.205822,3898.541,538.7942,2704.770222,1.36801,0.133464,0.16683,NA,1336.909196,984.097,Arena 2,62.7614,6046.88,535.357,5.2051,73.1383,4.43768,10.4102,0.567222,0.900882,297.691
DO.0666,F,G8,CSDO-F-14,10/27/2011,11/15/2012,385,Novel Object Test,L,319.3252,6316.283,277.805392,2747.08218,32.998958,1.935226,14.047094,4.237478,1805.0671,2551.3639,Arena 8,37.3699,4046.57,403.729,0.066732,22.5888,5.33856,3.50343,0.967614,109.274,105.47
DO.0667,F,G8,CSDO-F-14,10/24/2011,5/9/2013,563,Novel Object Test,R,49.98224,3720.485,548.4828,2703.646,1.768402,NA,0.066732,0.033366,868.5834,443.1009,Arena 1,113.978,7655.88,485.776,0,21.8881,7.24042,35.5682,15.3817,9.44258,15.6153
DO.0669,F,G8,CSDO-F-14,10/26/2011,5/9/2013,561,Novel Object Test,L,1.96859,2196.169,596.4966,2700,NA,NA,NA,NA,NA,NA,Arena 2,4.43768,3987.86,595.216,0,NA,NA,0.100098,NA,NA,NA
DO.0670,F,G8,CSDO-F-14,10/23/2011,11/15/2012,389,Novel Object Test,R,203.244894,6473.006,380.1388,2772.874,7.207056,4.43767,27.49358,17.817442,1352.2906,2511.4962,Arena 7,48.4474,4400.83,428.553,0,21.8214,14.0471,28.9283,13.947,62.4278,53.7526
DO.0671,F,G8,CSDO-F-15,10/24/2011,5/9/2013,563,Novel Object Test,R,81.11276,3422.526,518.5536,2714.303,33.065742,NA,2.135422,1.26791,1755.2181,1756.153,Arena 1,43.6427,4286.52,555.511,0,55.521,6.53974,20.7203,10.8106,282.844,3.1364
DO.0672,F,G8,CSDO-F-15,10/23/2011,11/15/2012,389,Novel Object Test,R,34.11264,4127.237,565.8873,2700,5.872416,0.066732,2.53582,0.16683,221.5506,805.5884,Arena 6,197.293,6477.69,304.498,0.100098,19.786,13.8469,8.74189,3.26987,63.1952,108.239
DO.0673,F,G8,CSDO-F-15,10/24/2011,5/9/2013,563,Novel Object Test,L,127.992038,3580.301,471.6409,2716.914,0.900882,NA,1.301274,0.033366,656.643,330.3565,Arena 2,140.805,4171.81,458.349,0.033366,5.60549,0.033366,7.07359,0.367026,66.6653,52.3846
DO.0674,F,G8,CSDO-F-15,10/22/2011,11/15/2012,390,Novel Object Test,R,271.1321,7642.275,321.2937,2713.4381,13.046118,4.003926,64.86354,28.194308,2004.3968,2319.4816,Arena 3,253.982,9347.73,313.407,0.300294,16.2492,4.30421,33.7998,16.3493,45.7448,29.0284
DO.0675,F,G8,CSDO-F-15,10/22/2011,11/15/2012,390,Novel Object Test,L,142.33922,14450.647,451.588,2704.106,22.121666,4.003916,75.106902,16.182516,1917.11092,2818.8301,Arena 3,167.731,8581.8,420.478,0,33.8999,14.4808,36.0686,17.7841,31.4975,4.07065
DO.0676,F,G8,CSDO-F-16,10/22/2011,11/29/2012,404,Novel Object Test,R,327.3665,9389.063,258.35293,2715.53049,1.768398,0.066732,8.50833,0.033366,2365.75,2442.4239,Arena 3,295.122,7358.44,280.274,5.63885,10.4436,3.03631,16.8832,2.70265,190.019,124.555
DO.0677,F,G8,CSDO-F-16,10/23/2011,11/29/2012,403,Novel Object Test,L,273.9684,8057.305,323.1622,2716.642988,4.704604,2.435714,5.638844,1.6683,2042.30866,2962.29944,Arena 4,394.219,6809.02,166.663,0,4.63787,9.9097,10.6438,8.64179,3.80372,6.7733
DO.0678,F,G8,CSDO-F-16,10/25/2011,11/15/2012,387,Novel Object Test,R,117.28163,8164.125,482.2511,2703.923,5.97251,1.101078,6.773292,1.768394,1479.1291,2149.9055,Arena 4,214.81,7209.88,205.401,0,12.0785,14.948,35.5682,37.7036,2.63591,41.207
DO.0679,F,G8,CSDO-F-16,10/22/2011,11/29/2012,404,Novel Object Test,R,149.75901,7680.322,376.5941,2704.835,8.641792,0.433758,23.602358,10.843954,2707.1833,2953.191,Arena 5,220.783,9503.77,347.006,0,43.8096,21.9548,14.681,4.03729,49.9155,40.0726
DO.0680,F,G8,CSDO-F-16,10/25/2011,11/29/2012,401,Novel Object Test,L,103.000704,5553.343,478.214,2713.261248,10.743852,3.369962,5.605492,0.400392,2326.77779,1609.843,Arena 6,318.946,9052.38,244.006,4.07065,22.1884,7.50735,19.5525,1.83513,89.1206,90.2884
DO.0682,F,G8,CSDO-F-17,10/24/2011,11/15/2012,388,Novel Object Test,R,292.0525,13653.091,245.3529,2706.91573,32.665292,3.403334,33.366016,20.52011,2887.82718,2719.86983,Arena 3,161.525,5820.11,331.191,0,23.1226,4.47104,10.844,3.77036,137.068,79.1442
DO.0683,F,G8,CSDO-F-17,10/23/2011,5/2/2013,557,Novel Object Test,R,256.71805,7289.517,343.282,2703.852,49.648602,20.086324,5.271822,0.700686,2820.3797,2802.845,Arena 3,287.748,9986.68,305.399,1.5682,30.6967,35.9685,39.6388,23.2227,28.0274,36.3356
DO.0684,F,G8,CSDO-F-17,10/23/2011,5/2/2013,557,Novel Object Test,L,52.45129,5252.764,547.5488,2700,1.234542,NA,5.87242,0.100098,1423.76079,713.999,Arena 4,235.43,5651.05,362.321,7.67418,14.1472,10.6771,14.5476,12.3788,114.445,122.286
DO.0685,F,G8,CSDO-F-17,10/24/2011,5/2/2013,556,Novel Object Test,R,394.9659,5824.208,203.66611,2780.50789,2.936212,NA,2.602548,NA,1243.38411,859.3748,Arena 5,261.856,7374.55,333.86,3.3366,22.5221,16.9833,57.9234,4.97153,64.8635,75.6407
