Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,Fecal.Boli,Pen.Density,Arena,Latency.to.Periphery.04.00.08.00,Latency.to.Periphery.08.00.12.00,Latency.to.Periphery.12.00.16.00,Latency.to.Periphery.16.00.20.00,Latency.to.Periphery.Start.04.00,Duration.Periphery.04.00.08.00,Duration.Periphery.08.00.12.00,Duration.Periphery.12.00.16.00,Duration.Periphery.16.00.20.00,Duration.Periphery.Start.04.00,Distance.04.00.08.00,Distance.08.00.12.00,Distance.12.00.16.00,Distance.16.00.20.00,Distance.Start.04.00,Duration.Corner.04.00.08.00,Duration.Corner.08.00.12.00,Duration.Corner.12.00.16.00,Duration.Corner.16.00.20.00,Duration.Corner.Start.04.00,Duration.Center.04.00.08.00,Duration.Center.08.00.12.00,Duration.Center.12.00.16.00,Duration.Center.16.00.20.00,Duration.Center.Start.04.00
DO.0661,F,G8,CSDO-F-13,10/24/2011,10/22/2012,364,20 min Open Field Test,12,3,Arena 2,240,480,720,960,0,239.466,236.663,240,235.729,184.012,988.667,811.492,843.721,829.995,1248.02,13.2129,11.2394,13.5181,10.6104,63.0617,138.933,139.406,120.318,89.0205,63.5956
DO.0663,F,G8,CSDO-F-13,10/25/2011,4/8/2013,531,20 min Open Field Test,3,5,Arena 4,240,480,720,960,106.573239,133.226562,130.690686,84.978311,126.419752,78.505174,928.6598725,690.549916,754.76797,981.212894,606.1036019,66.199541,98.898899,95.428761,86.08609,11.144477,9.275944,1.534869,18.018017,7.140472,23.423425
DO.0664,F,G8,CSDO-F-13,10/23/2011,4/8/2013,533,20 min Open Field Test,6,5,Arena 5,240,491.691691,720.053386,960,1.134467,160.06673,69.736405,111.551549,164.457788,77.170505,790.205343,935.6825752,819.7376632,790.1791786,606.587187,39.70637,36.970302,98.071409,98.191524,39.439441,3.003003,31.898561,26.026027,34.501167,15.081748
DO.0666,F,G8,CSDO-F-14,10/27/2011,10/22/2012,361,20 min Open Field Test,9,3,Arena 3,240,481.538,724.176,960,5.53876,106.739,80.1451,147.605,116.12,104.334,1244.54,1140.98,1013.89,873.96,1740.71,43.3758,86.9802,28.9332,21.4877,66.9989,51.784,35.2345,39.1717,45.9116,17.8842
DO.0667,F,G8,CSDO-F-14,10/24/2011,4/15/2013,539,20 min Open Field Test,6,5,Arena 3,240,483.61695,720,964.030697,0.266933,144.517854,134.414414,131.317985,120.186858,119.279284,1675.164422,1676.355882,2176.32619,1345.404408,1934.266498,39.773107,45.045041,45.378706,63.596924,56.122789,7.474145,23.289954,15.34868,26.693361,26.226225
DO.0669,F,G8,CSDO-F-14,10/26/2011,4/15/2013,537,20 min Open Field Test,3,5,Arena 4,240,480,723.85719,961.161161,0.066733,111.071073,98.712044,141.408075,186.252915,42.335669,712.9328328,721.0234258,439.4154145,507.9437483,864.64799,33.833832,63.463465,85.485487,105.839176,18.151487,44.844845,24.037371,7.394061,NA,124.324326
DO.0670,F,G8,CSDO-F-14,10/23/2011,10/22/2012,365,20 min Open Field Test,9,5,Arena 5,240.035,480,739.657,960.474,2.93621,65.1939,116.384,122.52,72.5377,97.5622,1231.9,1360.88,1262.3,1012.82,2091.65,29.7975,51.1167,32.2983,35.1678,38.803,33.8331,39.2384,37.7703,39.9057,57.0559
DO.0671,F,G8,CSDO-F-15,10/24/2011,4/15/2013,539,20 min Open Field Test,2,5,Arena 2,240,480,720.787454,960,92.359025,124.751415,99.579579,107.347342,94.521192,85.779111,932.13655,565.4291422,679.009227,687.4074124,760.4611449,73.033038,117.530868,118.31832,78.478475,43.336676,37.90457,7.140473,21.688356,37.771107,95.895894
DO.0672,F,G8,CSDO-F-15,10/23/2011,10/22/2012,365,20 min Open Field Test,14,3,Arena 3,240,480.07,827.01,980.693,14.7478,46.7474,66.1981,54.3198,138.361,68.2986,1208.15,1797.45,1264.66,661.373,1568.79,16.3461,21.4242,20.6202,19.2188,25.2247,83.0146,82.6427,78.1749,11.4845,99.3639
DO.0673,F,G8,CSDO-F-15,10/24/2011,4/15/2013,539,20 min Open Field Test,8,5,Arena 3,246.179512,493.893893,720,961.027694,0,97.964631,74.954954,35.82249,47.180515,75.275275,1588.039745,1252.195785,848.1869496,540.9525764,1499.007276,29.829833,22.622621,10.944273,20.687351,17.283953,73.526864,64.878209,109.442773,72.605939,88.221555
DO.0674,F,G8,CSDO-F-15,10/22/2011,10/22/2012,366,20 min Open Field Test,13,5,Arena 7,240,481.872,722.708,960,11.5446,119.552,134.065,135.593,18.2911,114.143,1582.16,1421.36,1340.46,395.233,2458.76,42.8419,98.2295,44.7772,6.27281,66.2649,35.3012,25.8253,33.1658,22.3552,53.9195
DO.0675,F,G8,CSDO-F-15,10/22/2011,10/22/2012,366,20 min Open Field Test,4,5,Arena 5,240,480,721.173,960,12.4789,86.2495,107.442,128.052,45.9849,94.2573,2120.02,1993,1776.93,1170.33,1518.39,48.8478,36.7693,41.0336,27.5669,39.6388,51.2502,68.6005,41.841,37.837,81.8134
DO.0676,F,G8,CSDO-F-16,10/22/2011,11/5/2012,380,20 min Open Field Test,8,5,Arena 1,240,480,720.305,960,17.684,91.3211,142.209,84.3427,97.3018,52.1494,1213.7,1024.21,1257.62,1066.17,1292.6,49.2832,53.9195,53.5191,103.059,23.9218,50.5161,38.104,46.5789,21.0873,68.734
DO.0677,F,G8,CSDO-F-16,10/23/2011,11/5/2012,379,20 min Open Field Test,2,3,Arena 2,240,480,721.039,1001.05,0.800784,62.6931,140.541,105.77,95.9606,128.758,812.555,619.002,740.652,468.612,986.286,27.0265,10.4386,33.7379,5.07163,28.7615,74.5396,41.3738,33.4327,55.2125,51.2502
DO.0678,F,G8,CSDO-F-16,10/25/2011,10/22/2012,363,20 min Open Field Test,10,2,Arena 1,242.037,485.675,722.441,960,12.7458,98.8968,86.8851,136.46,86.8916,97.0283,1084.23,1033.35,1312.33,1147.08,1567.37,63.8943,133.029,67.7045,92.2236,46.2103,31.7644,22.4887,34.8341,41.6408,68.3336
DO.0679,F,G8,CSDO-F-16,10/22/2011,11/5/2012,380,20 min Open Field Test,6,5,Arena 3,240,480.871,720,960,0.734052,133.232,127.019,132.828,92.4304,103.733,1801.6,1703.4,1851.19,1427.58,2343.4,90.7522,65.9345,62.9217,35.4664,52.8517,20.2865,21.154,17.1501,78.0097,43.1756
DO.0680,F,G8,CSDO-F-16,10/25/2011,11/5/2012,377,20 min Open Field Test,3,2,Arena 4,240,480,722.04,960,4.8047,105.935,191.257,103.628,113.718,109.539,986.807,456.743,857.796,794.258,2231.18,56.7572,24.6526,16.5878,91.7817,33.4645,21.6212,7.40725,60.5259,NA,41.1736
DO.0682,F,G8,CSDO-F-17,10/24/2011,10/22/2012,364,20 min Open Field Test,11,5,Arena 8,271.399,480.07,747.599,969.816,NA,79.0107,97.4287,55.3208,60.0588,NA,3264.48,2625.22,2390.01,3348.98,NA,20.8838,21.3575,65.7978,20.2198,NA,28.2944,33.4995,41.7009,23.6964,NA
DO.0683,F,G8,CSDO-F-17,10/23/2011,4/8/2013,533,20 min Open Field Test,5,5,Arena 4,240,482.082082,720,960,20.153486,90.930921,66.212879,96.856858,67.494158,92.852863,1729.366464,1635.212474,1933.309494,1579.302245,1931.693614,61.5282,65.198529,47.847847,53.253254,48.314982,51.58492,60.794128,39.706371,64.064067,60.460463
DO.0684,F,G8,CSDO-F-17,10/23/2011,4/8/2013,533,20 min Open Field Test,7,5,Arena 5,258.925592,480,771.504838,960,112.979646,54.040708,68.481812,135.508843,150.11011,7.540875,749.8000387,635.3514511,659.9524726,615.6259361,496.1640344,25.025024,45.979315,27.894563,30.163498,NA,122.49583,17.030361,20.140139,14.14748,158.785449
DO.0685,F,G8,CSDO-F-17,10/24/2011,4/8/2013,532,20 min Open Field Test,6,5,Arena 6,241.574908,480,725.392058,974.974974,0,55.775774,26.706706,30.430434,13.613618,40.774107,1019.36678,771.5514478,711.3402616,668.0159126,1257.307189,20.153484,12.746074,11.611611,15.749086,12.212213,115.315315,180.260262,166.59326,173.867201,136.33634
DO.0686,F,G8,CSDO-F-18,10/22/2011,10/22/2012,366,20 min Open Field Test,7,5,Arena 4,240,481.071,730.182,964.478,0.934248,91.4578,109.641,86.0175,101.232,91.2544,1340.81,1451.45,1229.29,1387.47,1838.73,52.3846,47.9803,39.5053,31.0304,46.9793,30.4965,26.3209,42.6133,32.1648,51.6506
