Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,BMD,BMC,X..Fat,TTM,Total.Lean,VTB.ROI.BMD,VTB.ROI.BMC,VTB.ROI...Fat,VTB.ROI.TTM,VTB.ROI.Lean,BW
DO.0661,F,G8,CSDO-F-13,10/24/2011,11/10/2012,383,Pixi 52wks,0.0532,0.48,23.5,27.7,21.2,0.0725,0.014,10.9,0.3,0.3,27.95
DO.0663,F,G8,CSDO-F-13,10/25/2011,4/26/2013,549,Pixi 78wks,0.0568,0.6119,43.62,55.85,31.5,0.096,0.0183,24.93,0.4,0.3,54.98
DO.0664,F,G8,CSDO-F-13,10/23/2011,4/26/2013,551,Pixi 78wks,0.0602,0.718,9.92,34.79,31.3,0.0969,0.0185,5.36,0.34,0.3,36.66
DO.0666,F,G8,CSDO-F-14,10/27/2011,11/9/2012,379,Pixi 52wks,0.0515,0.475,23.7,27.5,21,0.0562,0.01,11.1,0.3,0.3,27.95
DO.0667,F,G8,CSDO-F-14,10/24/2011,5/3/2013,557,Pixi 78wks,0.0504,0.4995,45.41,39.11,21.4,0.0449,0.0084,27.9,0.36,0.3,38.31
DO.0669,F,G8,CSDO-F-14,10/26/2011,5/3/2013,555,Pixi 78wks,0.0465,0.3884,28.81,26.65,19,0.0639,0.0119,17.37,0.31,0.3,26.82
DO.0671,F,G8,CSDO-F-15,10/24/2011,5/3/2013,557,Pixi 78wks,0.0551,0.6061,20.67,34.28,27.2,0.0781,0.0146,10.55,0.34,0.3,34.23
DO.0672,F,G8,CSDO-F-15,10/23/2011,11/10/2012,384,Pixi 52wks,0.0616,0.606,37.2,37.68,23.7,0.0902,0.017,18.1,0.4,0.3,36.15
DO.0673,F,G8,CSDO-F-15,10/24/2011,5/3/2013,557,Pixi 78wks,0.049,0.4987,10.08,24.69,22.2,0.0667,0.0124,2.66,0.32,0.3,25.85
DO.0674,F,G8,CSDO-F-15,10/22/2011,11/10/2012,385,Pixi 52wks,0.0575,0.511,28.8,34.37,24.5,0.077,0.014,16.5,0.4,0.3,29.78
DO.0675,F,G8,CSDO-F-15,10/22/2011,11/10/2012,385,Pixi 52wks,0.0548,0.541,25.6,30.09,22.4,0.0715,0.013,15.4,0.4,0.3,33.56
DO.0676,F,G8,CSDO-F-16,10/22/2011,11/21/2012,396,Pixi 52wks,0.0525,0.5195,39.19,30.96,18.8,0.0855,0.016,25.22,0.33,0.2,30.65
DO.0677,F,G8,CSDO-F-16,10/23/2011,11/21/2012,395,Pixi 52wks,0.0473,0.3836,30.27,29.83,20.8,0.0666,0.0124,16.36,0.33,0.3,29.68
DO.0678,F,G8,CSDO-F-16,10/25/2011,11/10/2012,382,Pixi 52wks,0.0523,0.47,28.2,34.24,24.6,0.0495,0.01,10.3,0.4,0.3,33.52
DO.0679,F,G8,CSDO-F-16,10/22/2011,11/21/2012,396,Pixi 52wks,0.0548,0.526,20.04,30.53,24.4,0.0922,0.0172,11.87,0.31,0.3,31.02
DO.0680,F,G8,CSDO-F-16,10/25/2011,11/21/2012,393,Pixi 52wks,0.0604,0.585,28.14,33.78,24.3,0.0839,0.0157,15.87,0.34,0.3,34.56
DO.0682,F,G8,CSDO-F-17,10/24/2011,11/10/2012,383,Pixi 52wks,0.0503,0.452,16.8,22.07,18.4,0.0705,0.013,7.2,0.3,0.3,21.7
DO.0683,F,G8,CSDO-F-17,10/23/2011,4/26/2013,551,Pixi 78wks,0.0637,0.6818,24.61,38.93,29.3,0.0842,0.0157,10.33,0.38,0.3,38.85
DO.0684,F,G8,CSDO-F-17,10/23/2011,4/26/2013,551,Pixi 78wks,0.0556,0.6442,43.55,44.77,25.3,0.0511,0.0095,30.72,0.38,0.3,44.04
DO.0685,F,G8,CSDO-F-17,10/24/2011,4/26/2013,550,Pixi 78wks,0.0457,0.4414,11.73,20.53,18.1,0.0642,0.0122,2.73,0.28,0.3,21.19
DO.0686,F,G8,CSDO-F-18,10/22/2011,11/10/2012,385,Pixi 52wks,0.0526,0.544,45.5,47.28,25.8,0.0837,0.016,27.6,0.4,0.3,45.07
DO.0688,F,G8,CSDO-F-18,10/22/2011,11/21/2012,396,Pixi 52wks,0.0493,0.4487,26.15,26.89,19.9,0.0772,0.0144,13.1,0.33,0.3,27.13
DO.0690,F,G8,CSDO-F-18,10/25/2011,11/21/2012,393,Pixi 52wks,0.0543,0.4912,34.32,34.58,22.7,0.0782,0.0146,23.45,0.34,0.3,34.48
DO.0691,F,G8,CSDO-F-19,10/25/2011,11/10/2012,382,Pixi 52wks,0.0585,0.528,30.9,33.04,22.8,0.1027,0.02,13.8,0.4,0.3,33.01
DO.0692,F,G8,CSDO-F-19,10/22/2011,5/10/2013,566,Pixi 78wks,0.068,0.708,43.64,56.87,32.1,0.0947,0.0177,27.88,0.41,0.3,55.45
DO.0693,F,G8,CSDO-F-19,10/25/2011,5/10/2013,563,Pixi 78wks,0.0564,0.4682,39.48,39.09,23.7,0.0675,0.0126,22.39,0.39,0.3,38.12
DO.0694,F,G8,CSDO-F-19,10/27/2011,5/10/2013,561,Pixi 78wks,0.0743,0.8137,24.52,54.31,41,0.1031,0.0192,16.78,0.39,0.3,52.51
DO.0695,F,G8,CSDO-F-19,10/23/2011,5/10/2013,565,Pixi 78wks,0.052,0.4675,22.2,28.49,22.2,0.0513,0.0096,15.48,0.32,0.3,28.64
DO.0696,F,G8,CSDO-F-20,10/26/2011,11/21/2012,392,Pixi 52wks,0.0592,0.6339,20.07,30.57,24.4,0.0841,0.0157,10.65,0.32,0.3,31.81
DO.0698,F,G8,CSDO-F-20,10/27/2011,11/21/2012,391,Pixi 52wks,0.0528,0.5479,15.62,32.99,27.8,0.0729,0.0136,6.71,0.34,0.3,33.46
DO.0700,F,G8,CSDO-F-20,10/23/2011,11/21/2012,395,Pixi 52wks,0.0558,0.5687,24.86,35.79,26.9,0.0852,0.0158,12.64,0.34,0.3,36.22
DO.0701,F,G8,CSDO-F-21,10/26/2011,5/10/2013,562,Pixi 78wks,0.0535,0.549,27.93,37.76,27.2,0.0747,0.0139,18.33,0.33,0.3,37.74
DO.0702,F,G8,CSDO-F-21,10/23/2011,5/10/2013,565,Pixi 78wks,0.0594,0.7349,49.37,48.85,24.7,0.0813,0.0152,34.08,0.36,0.2,47.86
DO.0703,F,G8,CSDO-F-21,10/27/2011,5/10/2013,561,Pixi 78wks,0.0572,0.52,40.23,37.48,22.4,0.0618,0.0115,27.84,0.38,0.3,36.15
DO.0704,F,G8,CSDO-F-21,10/24/2011,11/9/2012,382,Pixi 52wks,0.0551,0.486,29.7,30.7,21.6,0.0725,0.014,14.3,0.4,0.3,30.43
DO.0706,F,G8,CSDO-F-22,10/24/2011,5/3/2013,557,Pixi 78wks,0.048,0.4372,33.72,31.54,20.9,0.19,1.2904,16.25,0.33,0.3,31.27
DO.0707,F,G8,CSDO-F-22,10/26/2011,5/3/2013,555,Pixi 78wks,0.0567,0.5851,36.28,46.98,29.9,0.0819,0.0155,24.64,0.37,0.3,45.82
DO.0708,F,G8,CSDO-F-22,10/23/2011,11/9/2012,383,Pixi 52wks,0.0543,0.532,38.6,34.4,21.1,0.0846,0.016,30.4,0.4,0.2,33.92
DO.0709,F,G8,CSDO-F-22,10/25/2011,5/3/2013,556,Pixi 78wks,0.0536,0.5653,49.99,57.94,29,0.058,0.0108,32.22,0.42,0.3,55.76
