Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,Camera,TST.Duration.Start.1.00,TST.Duration.1.2,TST.Duration.2.3,TST.Duration.3.4,TST.Duration.4.5
DO.0661,F,G8,CSDO-F-13,10/24/2011,11/15/2012,NA,Tail Suspension,1,5.53887,6.37305,13.4468,10.9443,9.60962
DO.0663,F,G8,CSDO-F-13,10/25/2011,4/26/2013,NA,Tail Suspension,1,8.2082,29.5762,52.2389,24.5846,47.0204
DO.0664,F,G8,CSDO-F-13,10/23/2011,5/2/2013,NA,Tail Suspension,1,NA,3.67034,1.06774,8.34167,6.80681
DO.0666,F,G8,CSDO-F-14,10/27/2011,11/15/2012,NA,Tail Suspension,1,11.3113,14.4812,13.8005,5.08508,6.40641
DO.0672,F,G8,CSDO-F-15,10/23/2011,11/15/2012,NA,Tail Suspension,1,7.27394,18.9323,31.1712,16.4298,34.5012
DO.0674,F,G8,CSDO-F-15,10/22/2011,11/15/2012,NA,Tail Suspension,1,6.2062,22.3557,34.321,43.6904,38.4051
DO.0677,F,G8,CSDO-F-16,10/23/2011,11/29/2012,NA,Tail Suspension,1,10.4104,19.2326,10.7307,1.76176,5.84585
DO.0680,F,G8,CSDO-F-16,10/25/2011,11/29/2012,NA,Tail Suspension,1,5.27194,6.6066,8.9623,7.32065,22.6226
DO.0682,F,G8,CSDO-F-17,10/24/2011,11/15/2012,NA,Tail Suspension,1,3.91058,8.0347,13.7137,4.9316,12.7861
DO.0683,F,G8,CSDO-F-17,10/23/2011,5/2/2013,NA,Tail Suspension,1,8.74875,21.348,17.5509,26.1862,40.6139
DO.0684,F,G8,CSDO-F-17,10/23/2011,5/2/2013,NA,Tail Suspension,1,8.2082,15.4955,28.8355,45.3186,23.7971
DO.0685,F,G8,CSDO-F-17,10/24/2011,5/2/2013,NA,Tail Suspension,1,5.13847,18.8989,34.2209,6.74007,41.9086
DO.0690,F,G8,CSDO-F-18,10/25/2011,11/29/2012,NA,Tail Suspension,1,2.33567,4.27094,4.53787,6.70003,14.3877
DO.0692,F,G8,CSDO-F-19,10/22/2011,5/16/2013,NA,Tail Suspension,1,2.53587,10.4104,16.6166,38.5052,41.4414
DO.0693,F,G8,CSDO-F-19,10/25/2011,5/16/2013,NA,Tail Suspension,1,0.667336,11.011,37.1238,56.8635,14.5212
DO.0694,F,G8,CSDO-F-19,10/27/2011,5/16/2013,NA,Tail Suspension,1,4.41108,16.8235,6.45979,15.1485,13.2799
DO.0695,F,G8,CSDO-F-19,10/23/2011,5/16/2013,NA,Tail Suspension,1,0.667334,2.66933,3.73707,8.00801,38.4384
DO.0698,F,G8,CSDO-F-20,10/27/2011,11/29/2012,NA,Tail Suspension,1,3.67034,21.4348,14.7548,23.8705,8.17484
DO.0701,F,G8,CSDO-F-21,10/26/2011,5/16/2013,NA,Tail Suspension,1,7.74107,10.4104,42.9963,33.0797,20.6206
DO.0702,F,G8,CSDO-F-21,10/23/2011,5/16/2013,NA,Tail Suspension,1,5.6056,39.1859,30.8375,35.4154,30.8308
DO.0703,F,G8,CSDO-F-21,10/27/2011,5/16/2013,NA,Tail Suspension,1,3.13647,20.6874,31.6517,20.961,27.334
DO.0704,F,G8,CSDO-F-21,10/24/2011,11/15/2012,NA,Tail Suspension,1,25.332,31.0911,55.956,24.6513,11.0177
DO.0708,F,G8,CSDO-F-22,10/23/2011,11/15/2012,NA,Tail Suspension,1,9.08241,20.694,40.5806,41.0477,43.2165
DO.0712,F,G8,CSDO-F-23,10/22/2011,5/2/2013,NA,Tail Suspension,1,18.0848,17.0837,47.4007,42.0887,42.1088
DO.0713,F,G8,CSDO-F-23,10/24/2011,5/2/2013,NA,Tail Suspension,1,3.87053,18.8856,23.5102,57.5976,56.1628
DO.0714,F,G8,CSDO-F-23,10/27/2011,5/2/2013,NA,Tail Suspension,1,2.66934,11.6917,35.6223,15.0817,41.308
DO.0715,F,G8,CSDO-F-23,10/25/2011,5/2/2013,NA,Tail Suspension,1,7.07375,23.9573,26.2463,48.028,33.5002
DO.0717,F,G8,CSDO-F-24,10/22/2011,11/29/2012,NA,Tail Suspension,1,0.533867,2.2022,4.67134,7.14048,3.8038
DO.0719,F,G8,CSDO-F-24,10/23/2011,11/29/2012,NA,Tail Suspension,1,0.607275,6.61328,7.72773,6.67335,8.74208
DO.0722,F,G9,CSDO-F-25,2/22/2012,2/28/2013,NA,Tail Suspension,2,17.3507,34.1341,38.6386,44.5446,45.5122
DO.0723,F,G9,CSDO-F-25,2/19/2012,2/28/2013,NA,Tail Suspension,1,8.008,7.2072,15.8158,10.6773,2.1021
DO.0727,F,G9,CSDO-F-26,2/20/2012,3/14/2013,NA,Tail Suspension,1,3.53687,21.7017,50.2369,29.1892,34.7748
DO.0730,F,G9,CSDO-F-26,2/20/2012,3/14/2013,NA,Tail Suspension,1,0.800798,7.54087,26.0928,40.8675,45.352
DO.0731,F,G9,CSDO-F-27,2/20/2012,2/28/2013,NA,Tail Suspension,1,19.0524,25.0717,38.9256,31.5916,46.8535
