Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,Transitions.Made,Correct.Transitions,X..Correct,Tmaze.Duration.Start.1st.min,Tmaze.Duration.Start.2nd.min,Tmaze.Duration.Start.3rd.min,Tmaze.Duration.Start.4th.min,Tmaze.Duration.Start.5th.min,Tmaze.Duration.Right.1st.min,Tmaze.Duration.Right.2nd.min,Tmaze.Duration.Right.3rd.min,Tmaze.Duration.Right.4th.min,Tmaze.Duration.Right.5th.min,Tmaze.Duration.Left.1st.min,Tmaze.Duration.Left.2nd.min,Tmaze.Duration.Left.3rd.min,Tmaze.Duration.Left.4th.min,Tmaze.Duration.Left.5th.min,Tmaze.Duration.Center.1st.min,Tmaze.Duration.Center.2nd.min,Tmaze.Duration.Center.3rd.min,Tmaze.Duration.Center.4th.min,Tmaze.Duration.Center.5th.min,Tmaze.total.Distance.1st.min,Tmaze.total.Distance.2nd.min,Tmaze.total.Distance.3rd.min,Tmaze.total.Distance.4th.min,Tmaze.total.Distance.5th.min,Tmaze.Latency.to.Center.1st.min,Tmaze.Latency.to.Center.2nd.min,Tmaze.Latency.to.Center.3rd.min,Tmaze.Latency.to.Center.4th.min,Tmaze.Latency.to.Center.5th.min
DO.0661,F,G8,CSDO-F-13,10/24/2011,10/26/2012,368,Mouse number < 700,16,11,68.8,36.5698,12.746,9.69687,15.5283,23.6578,20.2869,12.4791,18.6853,18.4458,23.9298,NA,16.7637,11.3977,14.748,NA,NA,11.2779,12.8795,5.07172,4.93826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DO.0663,F,G8,CSDO-F-13,10/25/2011,4/12/2013,535,Mouse number < 700,15,10,66.7,32.3056,17.2773,11.8318,25.0317,6.04605,4.4044,7.47414,8.14147,NA,14.3477,12.012,10.5572,11.2646,8.54187,15.015,11.4114,24.8916,28.8956,26.6934,24.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DO.0664,F,G8,CSDO-F-13,10/23/2011,4/12/2013,537,Mouse number < 700,12,9,75,44.044,8.94228,3.33667,0.467133,NA,NA,17.5509,12.6793,11.2779,2.26893,12.3457,8.20821,13.5002,15.2619,NA,3.67701,25.2986,30.6173,33.0597,57.7311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DO.0666,F,G8,CSDO-F-14,10/27/2011,10/26/2012,365,Mouse number < 700,7,5,71.4,17.8845,14.8285,23.2094,NA,18.8855,10.0168,7.60073,NA,1.66833,NA,NA,16.3496,10.8775,7.635,6.31224,19.4861,10.8108,20.9081,45.358,24.6588,398.432,492.423,595.437,304.169,339.412,20.02,69.0021,143.743,180,250.583
DO.0667,F,G8,CSDO-F-14,10/24/2011,4/19/2013,543,Mouse number < 700,29,15,51.7,15.9493,17.9513,11.9453,10.8775,11.7117,13.8138,17.8979,11.2179,27.4741,3.4034,10.7508,8.20153,12.6126,2.86954,14.4811,19.6196,15.9493,24.4912,18.7788,30.6707,784.494,701.14,627.43,667.165,611.864,11.8118,63.3967,120.921,180.981,240
DO.0669,F,G8,CSDO-F-14,10/26/2011,4/19/2013,541,Mouse number < 700,5,4,80,31.3714,19.9466,3.8038,NA,8.84217,NA,NA,14.8148,NA,NA,NA,3.47014,NA,7.27394,NA,NA,20.5539,14.1008,8.05472,15.9493,154.486,225.463,164.871,98.4561,111.568,NA,80.9476,131.465,180,245.846
DO.0670,F,G8,CSDO-F-14,10/23/2011,10/26/2012,369,Mouse number < 700,8,5,62.5,21.2879,NA,16.2829,NA,NA,NA,25.025,NA,NA,21.2879,13.8138,NA,5.00499,17.6176,15.4154,18.5518,24.1044,28.8356,29.4755,17.3182,561.514,465.399,518.358,380.564,348.077,21.6216,75.7422,120,180,265.465
DO.0671,F,G8,CSDO-F-15,10/24/2011,4/19/2013,543,Mouse number < 700,7,3,42.9,34.6414,14.7549,34.7749,28.4078,43.0104,NA,4.53786,NA,NA,NA,4.87152,NA,NA,NA,0.333666,20.9542,41.2411,25.2919,32.1261,16.7226,543.419,498.384,393.026,355.91,323.723,26.6933,64.3308,136.136,189.789,240
DO.0672,F,G8,CSDO-F-15,10/23/2011,10/26/2012,369,Mouse number < 700,6,5,83.3,14.9482,NA,1.26793,13.5743,9.11503,5.73905,NA,0.667332,NA,NA,7.54085,NA,1.33466,NA,NA,17.0238,56.0627,37.9113,30.2096,49.1156,305.285,38.0682,137.652,81.9884,73.0614,15.3486,60,120,180,249.182
DO.0673,F,G8,CSDO-F-15,10/24/2011,4/19/2013,543,Mouse number < 700,15,9,60,45.1118,6.80681,9.62963,2.31565,17.1505,3.34334,26.353,13.2799,12.1455,19.8198,NA,12.2122,NA,16.1094,6.11278,10.6773,14.628,37.0904,29.0958,16.1161,361.807,510.71,387.614,307.931,334.805,45.9126,68.335,120,182.316,246.113
DO.0674,F,G8,CSDO-F-15,10/22/2011,10/26/2012,370,Mouse number < 700,18,11,61.1,27.0269,5.67232,5.73905,6.33965,10.3436,4.53786,6.94025,12.012,17.9512,6.13945,8.88237,5.3318,12.012,6.33965,NA,12.8128,34.0339,18.018,17.6843,35.87,731.203,568.246,687.723,564.024,391.377,18.018,60.6605,130.196,184.184,240.306
DO.0675,F,G8,CSDO-F-15,10/22/2011,10/26/2012,370,Mouse number < 700,10,9,90,15.3555,4.59774,2.86953,10.2376,10.9836,2.002,5.13846,1.06773,16.2162,19.7206,1.53486,1.001,NA,10.6106,NA,9.27591,32.5128,39.3127,10.9237,12.4791,204.522,150.209,110.389,320.998,221.961,15.8158,65.6655,120,180,260.193
DO.0676,F,G8,CSDO-F-16,10/22/2011,11/9/2012,384,Mouse number < 700,12,8,66.7,41.1077,14.4144,12.5458,10.0767,8.34165,NA,12.8128,6.00599,10.6106,NA,9.7499,11.4045,3.93726,7.54085,0.367932,6.87352,20.701,34.1075,30.237,49.5554,2350.34,3188.26,2715.72,2979.2,2030,41.9084,62.9294,120,180,240
DO.0677,F,G8,CSDO-F-16,10/23/2011,11/9/2012,383,Mouse number < 700,19,11,57.9,18.9522,6.87352,12.2122,14.642,11.384,16.7569,15.7559,13.22,17.8639,9.04325,5.53886,11.745,13.6136,8.40838,NA,18.2182,24.9582,20.6206,17.5508,39.2391,2727.13,3464.85,3113.88,2629.79,2380.55,19.019,61.9284,121.254,180.847,240.506
DO.0678,F,G8,CSDO-F-16,10/25/2011,10/26/2012,367,Mouse number < 700,23,14,60.9,17.9512,7.07372,3.29049,10.6568,10.4104,15.1553,20.0268,12.065,12.5733,12.8521,12.6126,6.94025,10.1434,6.67332,7.34065,9.67631,14.5478,26.3596,22.756,17.6518,650.628,649.657,478.04,529.673,564.508,16.016,61.0609,122.722,182.582,247.914
DO.0679,F,G8,CSDO-F-16,10/22/2011,11/9/2012,384,Mouse number < 700,20,14,70,27.0269,0.133467,16.016,8.27492,10.2102,NA,18.4184,13.6136,10.1709,2.90885,16.016,14.8952,5.85881,12.4124,13.013,15.1484,17.9512,21.5086,28.4078,32.0662,1801.58,2450.2,2619.19,2479.34,2971.71,27.2271,71.0709,122.055,180,242.709
DO.0680,F,G8,CSDO-F-16,10/25/2011,11/9/2012,381,Mouse number < 700,9,5,55.6,43.777,15.2819,12.9462,NA,NA,11.1444,2.13546,4.00399,11.2112,NA,NA,15.0287,20.0935,10.7902,40.9417,5.01184,26.8199,22.2222,37.6649,17.5902,1878.12,2415,2247.26,2006.12,1260.19,43.8437,60,137.337,185.385,240
DO.0682,F,G8,CSDO-F-17,10/24/2011,10/26/2012,368,Mouse number < 700,13,9,69.2,17.1504,NA,15.8825,7.2346,8.5487,NA,17.5508,11.8785,2.46913,5.93926,2.54271,7.66747,NA,7.47412,2.06873,35.3686,25.9592,28.1152,33.5462,29.6295,299.298,486.424,401.615,447.374,411.77,18.1514,64.531,120.921,180,241.441
DO.0683,F,G8,CSDO-F-17,10/23/2011,4/12/2013,537,Mouse number < 700,26,14,53.8,14.1474,12.5595,20.6069,10.1434,20.2202,14.5478,16.8168,6.07272,10.744,NA,15.1484,15.8158,2.80279,6.47312,14.8148,16.223,14.6077,30.5176,33.0398,25.232,791.206,882.376,631.796,630.922,603.816,14.0807,60,130.864,180,240
DO.0684,F,G8,CSDO-F-17,10/23/2011,4/12/2013,537,Mouse number < 700,13,6,46.2,24.5578,9.34265,NA,9.34265,NA,1.54172,13.6735,11.6321,9.25535,16.3496,10.0767,NA,9.80978,NA,9.47611,24.1574,37.2508,38.5581,41.402,34.241,423.452,457.257,438.896,413.874,400.331,16.8168,64.3975,120,189.255,240
DO.0685,F,G8,CSDO-F-17,10/24/2011,4/12/2013,536,Mouse number < 700,17,14,82.4,31.1645,14.2142,13.3467,9.27594,1.3013,6.80681,15.7491,8.74208,28.295,15.9493,10.5506,8.86887,19.6864,NA,22.8228,11.5449,21.3013,15.0884,22.4291,19.8599,557.041,662.298,530.734,466.511,422.826,24.7581,62.1288,120,180,240
DO.0686,F,G8,CSDO-F-18,10/22/2011,10/26/2012,370,Mouse number < 700,8,6,75,34.5678,33.5001,NA,NA,19.1524,11.1444,NA,NA,21.6883,3.03726,3.21005,7.66746,17.1504,NA,19.3526,10.01,15.5625,28.5019,37.6444,11.4507,233.94,244.396,171.125,214.917,299.863,34.8347,68.1346,120,180,240
