Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,BW,Tail.Length,Date.of.VP,Age.of.VP
DO.0001,FALSE,G7,LGDO-F-01,6/22/2011,7/21/2011,NA,V.P.,13.57,7.1,7/21/11,29
DO.0002,FALSE,G7,LGDO-F-01,6/22/2011,7/22/2011,NA,V.P.,15.67,7.4,7/22/11,30
DO.0003,FALSE,G7,LGDO-F-01,6/24/2011,7/20/2011,NA,V.P.,14.54,7,7/20/11,26
DO.0004,FALSE,G7,LGDO-F-01,6/24/2011,7/20/2011,NA,V.P.,11.78,6.3,7/20/11,26
DO.0005,FALSE,G7,LGDO-F-01,6/21/2011,7/19/2011,NA,V.P.,14.86,7.2,7/19/11,28
DO.0006,FALSE,G7,LGDO-F-02,6/22/2011,8/5/2011,44,V.P.,17.88,7.8,7/17/2011,25
DO.0007,FALSE,G7,LGDO-F-02,6/20/2011,8/5/2011,46,V.P.,11.71,7.3,7/18/2011,28
DO.0008,FALSE,G7,LGDO-F-02,6/24/2011,8/5/2011,42,V.P.,13.34,7.6,7/22/2011,28
DO.0009,FALSE,G7,LGDO-F-02,6/19/2011,8/5/2011,47,V.P.,19.24,8.4,7/31/2011,42
DO.0010,FALSE,G7,LGDO-F-02,6/20/2011,8/5/2011,46,V.P.,16.81,7.5,7/20/2011,30
DO.0011,FALSE,G7,LGDO-F-03,6/20/2011,8/5/2011,46,V.P.,14.45,7.8,7/21/2011,31
DO.0012,FALSE,G7,LGDO-F-03,6/23/2011,8/5/2011,43,V.P.,14.11,7.8,7/22/2011,29
DO.0013,FALSE,G7,LGDO-F-03,6/21/2011,8/5/2011,45,V.P.,14.53,7.8,7/31/2011,40
DO.0015,FALSE,G7,LGDO-F-03,6/30/2011,8/5/2011,36,V.P.,17.45,8.1,7/31/2011,31
DO.0016,FALSE,G7,LGDO-F-04,6/30/2011,8/5/2011,36,V.P.,17.17,7.5,7/30/2011,30
DO.0017,FALSE,G7,LGDO-F-04,6/30/2011,8/5/2011,36,V.P.,11.78,8.4,7/25/2011,25
DO.0018,FALSE,G7,LGDO-F-04,6/27/2011,8/5/2011,39,V.P.,15.12,7.6,7/24/2011,27
DO.0019,FALSE,G7,LGDO-F-04,6/30/2011,8/5/2011,36,V.P.,12.9,8.2,8/3/2011,34
DO.0020,FALSE,G7,LGDO-F-04,6/30/2011,8/5/2011,36,V.P.,20.57,8.4,8/7/2011,38
DO.0021,FALSE,G7,LGDO-F-05,6/30/2011,8/5/2011,36,V.P.,14.07,7.5,7/26/2011,26
DO.0022,FALSE,G7,LGDO-F-05,6/29/2011,8/5/2011,37,V.P.,18.39,7.8,7/26/2011,27
DO.0023,FALSE,G7,LGDO-F-05,6/30/2011,8/5/2011,36,V.P.,13.1,7.5,7/24/2011,24
DO.0024,FALSE,G7,LGDO-F-05,6/29/2011,8/5/2011,37,V.P.,12.9,8.2,7/29/2011,30
DO.0025,FALSE,G7,LGDO-F-05,6/30/2011,8/5/2011,36,V.P.,14.27,7.2,7/24/2011,24
DO.0026,FALSE,G7,LGDO-F-06,6/27/2011,8/5/2011,39,V.P.,11.68,7.6,7/21/2011,24
DO.0027,FALSE,G7,LGDO-F-06,6/29/2011,8/5/2011,37,V.P.,13.63,8.1,7/28/2011,29
DO.0028,FALSE,G7,LGDO-F-06,6/30/2011,8/5/2011,36,V.P.,14.37,8.1,7/26/2011,26
DO.0029,FALSE,G7,LGDO-F-06,6/30/2011,8/5/2011,36,V.P.,16.52,9.1,7/25/2011,25
DO.0030,FALSE,G7,LGDO-F-06,6/30/2011,8/5/2011,36,V.P.,14.71,8.2,7/26/2011,27
DO.0031,FALSE,G7,LGDO-F-07,6/25/2011,8/5/2011,41,V.P.,15.41,8.5,7/23/2011,28
DO.0032,FALSE,G7,LGDO-F-07,6/30/2011,8/5/2011,36,V.P.,14.8,8,7/31/2011,31
DO.0033,FALSE,G7,LGDO-F-07,6/29/2011,8/5/2011,37,V.P.,14.92,7.8,7/28/2011,29
DO.0034,FALSE,G7,LGDO-F-07,6/27/2011,8/5/2011,39,V.P.,13.88,7.5,7/26/2011,29
DO.0035,FALSE,G7,LGDO-F-07,6/29/2011,8/5/2011,37,V.P.,12.78,8.2,7/22/2011,23
DO.0036,FALSE,G7,LGDO-F-08,6/30/2011,8/5/2011,36,V.P.,14.7,8,7/29/2011,29
DO.0037,FALSE,G7,LGDO-F-08,6/30/2011,8/5/2011,36,V.P.,12.67,7.2,7/29/2011,29
DO.0038,FALSE,G7,LGDO-F-08,7/1/2011,8/5/2011,35,V.P.,17.33,8,8/1/2011,31
DO.0039,FALSE,G7,LGDO-F-08,6/30/2011,8/5/2011,36,V.P.,17.02,8.5,8/3/2011,34
DO.0040,FALSE,G7,LGDO-F-08,6/30/2011,8/5/2011,36,V.P.,13.43,6.8,7/27/2011,27
DO.0041,FALSE,G7,LGDO-F-09,6/30/2011,8/5/2011,36,V.P.,11.09,7.8,7/22/2011,22
DO.0042,FALSE,G7,LGDO-F-09,6/26/2011,8/5/2011,40,V.P.,17.97,8,7/26/2011,30
DO.0043,FALSE,G7,LGDO-F-09,6/27/2011,8/5/2011,39,V.P.,17.91,7.8,7/26/2011,29
DO.0044,FALSE,G7,LGDO-F-09,6/28/2011,8/5/2011,38,V.P.,14.26,7.4,8/2/2011,35
DO.0045,FALSE,G7,LGDO-F-09,6/30/2011,8/5/2011,36,V.P.,12.5,7.7,7/27/2011,27
DO.0046,FALSE,G7,LGDO-F-10,6/27/2011,8/5/2011,39,V.P.,17.85,8.3,8/4/2011,38
DO.0047,FALSE,G7,LGDO-F-10,6/30/2011,8/5/2011,36,V.P.,16.32,8.2,8/1/2011,32
DO.0048,FALSE,G7,LGDO-F-10,6/30/2011,8/5/2011,36,V.P.,13.45,7.3,7/29/2011,29
DO.0049,FALSE,G7,LGDO-F-10,6/25/2011,8/5/2011,41,V.P.,16.92,8.7,7/23/2011,28
DO.0050,FALSE,G7,LGDO-F-10,6/29/2011,8/5/2011,37,V.P.,15.78,7.6,7/24/2011,25
DO.0051,FALSE,G7,LGDO-F-11,6/30/2011,8/5/2011,36,V.P.,14.56,7.9,7/26/2011,26
DO.0052,FALSE,G7,LGDO-F-11,6/25/2011,8/5/2011,41,V.P.,13.12,8.2,8/1/2011,37
DO.0053,FALSE,G7,LGDO-F-11A,6/27/2011,8/5/2011,39,V.P.,18.87,8.2,8/4/2011,38
DO.0054,FALSE,G7,LGDO-F-11,6/29/2011,8/5/2011,37,V.P.,19.03,9.3,8/8/2011,40
DO.0055,FALSE,G7,LGDO-F-11,7/1/2011,8/5/2011,35,V.P.,12.01,7.5,7/23/2011,22
